Host Hotels & Resorts Quarterly Net Income (Millions of US $),Host Hotels & Resorts Quarterly Net Income (Millions of US $).1
2024-03-31,$268
2023-12-31,$132
2023-09-30,$111
2023-06-30,$210
2023-03-31,$287
2022-12-31,$147
2022-09-30,$114
2022-06-30,$256
2022-03-31,$116
2021-12-31,$320
2021-09-30,$-119
2021-06-30,$-60
2021-03-31,$-152
2020-12-31,$-64
2020-09-30,$-313
2020-06-30,$-352
2020-03-31,$-3
2019-12-31,$80
2019-09-30,$368
2019-06-30,$286
2019-03-31,$186
2018-12-31,$303
2018-09-30,$322
2018-06-30,$209
2018-03-31,$253
2017-12-31,$92
2017-09-30,$104
2017-06-30,$210
2017-03-31,$158
2016-12-31,$126
2016-09-30,$107
2016-06-30,$347
2016-03-31,$182
2015-12-31,$163
2015-09-30,$85
2015-06-30,$212
2015-03-31,$98
2014-12-31,$254
2014-09-30,$144
2014-06-30,$155
2014-03-31,$179
2013-12-31,$123
2013-09-30,$19
2013-06-30,$119
2013-03-31,$56
2012-12-31,$15
2012-09-30,$-34
2012-06-30,$82
2012-03-31,$-2
2011-12-31,$16
2011-09-30,$-33
2011-06-30,$62
2011-03-31,$-60
2010-12-31,$-6
2010-09-30,$-59
2010-06-30,$13
2010-03-31,$-86
2009-12-31,$-73
2009-09-30,$-57
2009-06-30,$-70
2009-03-31,$-61
