LyondellBasell Industries Quarterly Net Income (Millions of US $),LyondellBasell Industries Quarterly Net Income (Millions of US $).1
2024-03-31,$471
2023-12-31,$183
2023-09-30,$745
2023-06-30,$714
2023-03-31,$472
2022-12-31,$351
2022-09-30,$570
2022-06-30,"$1,643"
2022-03-31,"$1,318"
2021-12-31,$724
2021-09-30,"$1,760"
2021-06-30,"$2,058"
2021-03-31,"$1,068"
2020-12-31,$853
2020-09-30,$112
2020-06-30,$313
2020-03-31,$142
2019-12-31,$610
2019-09-30,$963
2019-06-30,"$1,002"
2019-03-31,$815
2018-12-31,$690
2018-09-30,"$1,113"
2018-06-30,"$1,654"
2018-03-31,"$1,231"
2017-12-31,"$1,894"
2017-09-30,"$1,057"
2017-06-30,"$1,131"
2017-03-31,$797
2016-12-31,$763
2016-09-30,$952
2016-06-30,"$1,091"
2016-03-31,"$1,030"
2015-12-31,$795
2015-09-30,"$1,185"
2015-06-30,"$1,330"
2015-03-31,"$1,166"
2014-12-31,$795
2014-09-30,"$1,258"
2014-06-30,"$1,178"
2014-03-31,$943
2013-12-31,"$1,174"
2013-09-30,$853
2013-06-30,$929
2013-03-31,$901
2012-12-31,$629
2012-09-30,$846
2012-06-30,$770
2012-03-31,$600
2011-12-31,$-218
2011-09-30,$890
2011-06-30,$804
2011-03-31,$659
2010-12-31,$763
2010-09-30,$472
2010-06-30,"$8,896"
2010-03-31,$10
2009-12-31,$-848
2009-09-30,$-650
2009-06-30,$-351
2009-03-31,"$-1,016"
