Lowe's Quarterly Net Income (Millions of US $),Lowe's Quarterly Net Income (Millions of US $).1
2024-04-30,"$1,750"
2024-01-31,"$1,017"
2023-10-31,"$1,769"
2023-07-31,"$2,666"
2023-04-30,"$2,254"
2023-01-31,$956
2022-10-31,$152
2022-07-31,"$2,983"
2022-04-30,"$2,325"
2022-01-31,"$1,201"
2021-10-31,"$1,889"
2021-07-31,"$3,007"
2021-04-30,"$2,312"
2021-01-31,$973
2020-10-31,$689
2020-07-31,"$2,816"
2020-04-30,"$1,333"
2020-01-31,$509
2019-10-31,"$1,046"
2019-07-31,"$1,670"
2019-04-30,"$1,043"
2019-01-31,$-821
2018-10-31,$628
2018-07-31,"$1,515"
2018-04-30,$985
2018-01-31,$553
2017-10-31,$870
2017-07-31,"$1,413"
2017-04-30,$600
2017-01-31,$646
2016-10-31,$376
2016-07-31,"$1,162"
2016-04-30,$880
2016-01-31,$10
2015-10-31,$733
2015-07-31,"$1,121"
2015-04-30,$670
2015-01-31,$447
2014-10-31,$582
2014-07-31,"$1,033"
2014-04-30,$620
2014-01-31,$303
2013-10-31,$495
2013-07-31,$935
2013-04-30,$537
2013-01-31,$286
2012-10-31,$393
2012-07-31,$742
2012-04-30,$524
2012-01-31,$320
2011-10-31,$223
2011-07-31,$823
2011-04-30,$458
2011-01-31,$283
2010-10-31,$400
2010-07-31,$825
2010-04-30,$485
2010-01-31,$204
2009-10-31,$341
2009-07-31,$753
2009-04-30,$472
2009-01-31,$161
