Avery Dennison Quarterly Net Income (Millions of US $),Avery Dennison Quarterly Net Income (Millions of US $).1
2024-03-31,$172
2023-12-31,$143
2023-09-30,$138
2023-06-30,$100
2023-03-31,$121
2022-12-31,$123
2022-09-30,$222
2022-06-30,$215
2022-03-31,$198
2021-12-31,$183
2021-09-30,$164
2021-06-30,$184
2021-03-31,$210
2020-12-31,$192
2020-09-30,$151
2020-06-30,$80
2020-03-31,$134
2019-12-31,$163
2019-09-30,$145
2019-06-30,$143
2019-03-31,$-147
2018-12-31,$97
2018-09-30,$150
2018-06-30,$96
2018-03-31,$125
2017-12-31,$-60
2017-09-30,$108
2017-06-30,$121
2017-03-31,$112
2016-12-31,$62
2016-09-30,$89
2016-06-30,$80
2016-03-31,$90
2015-12-31,$57
2015-09-30,$82
2015-06-30,$64
2015-03-31,$72
2014-12-31,$71
2014-09-30,$60
2014-06-30,$43
2014-03-31,$71
2013-12-31,$40
2013-09-30,$47
2013-06-30,$69
2013-03-31,$58
2012-12-31,$49
2012-09-30,$58
2012-06-30,$64
2012-03-31,$44
2011-12-31,$22
2011-09-30,$50
2011-06-30,$73
2011-03-31,$45
2010-12-31,$114
2010-09-30,$64
2010-06-30,$84
2010-03-31,$55
2009-12-31,$50
2009-09-30,$63
2009-06-30,$40
2009-03-31,$-899
