Chevron Quarterly Net Income (Millions of US $),Chevron Quarterly Net Income (Millions of US $).1
2024-03-31,"$5,501"
2023-12-31,"$2,259"
2023-09-30,"$6,526"
2023-06-30,"$6,010"
2023-03-31,"$6,574"
2022-12-31,"$6,353"
2022-09-30,"$11,231"
2022-06-30,"$11,622"
2022-03-31,"$6,259"
2021-12-31,"$5,055"
2021-09-30,"$6,111"
2021-06-30,"$3,082"
2021-03-31,"$1,377"
2020-12-31,$-665
2020-09-30,$-207
2020-06-30,"$-8,270"
2020-03-31,"$3,599"
2019-12-31,"$-6,610"
2019-09-30,"$2,580"
2019-06-30,"$4,305"
2019-03-31,"$2,649"
2018-12-31,"$3,730"
2018-09-30,"$4,047"
2018-06-30,"$3,409"
2018-03-31,"$3,638"
2017-12-31,"$3,111"
2017-09-30,"$1,952"
2017-06-30,"$1,450"
2017-03-31,"$2,682"
2016-12-31,$415
2016-09-30,"$1,283"
2016-06-30,"$-1,470"
2016-03-31,$-725
2015-12-31,$-588
2015-09-30,"$2,037"
2015-06-30,$571
2015-03-31,"$2,567"
2014-12-31,"$3,471"
2014-09-30,"$5,593"
2014-06-30,"$5,665"
2014-03-31,"$4,512"
2013-12-31,"$4,930"
2013-09-30,"$4,950"
2013-06-30,"$5,365"
2013-03-31,"$6,178"
2012-12-31,"$7,245"
2012-09-30,"$5,253"
2012-06-30,"$7,210"
2012-03-31,"$6,471"
2011-12-31,"$5,123"
2011-09-30,"$7,829"
2011-06-30,"$7,732"
2011-03-31,"$6,211"
2010-12-31,"$5,295"
2010-09-30,"$3,768"
2010-06-30,"$5,409"
2010-03-31,"$4,552"
2009-12-31,"$3,070"
2009-09-30,"$3,831"
2009-06-30,"$1,745"
2009-03-31,"$1,837"
