Mohawk Industries Quarterly Net Income (Millions of US $),Mohawk Industries Quarterly Net Income (Millions of US $).1
2024-03-31,$105
2023-12-31,$140
2023-09-30,$-760
2023-06-30,$101
2023-03-31,$80
2022-12-31,$33
2022-09-30,$-534
2022-06-30,$280
2022-03-31,$245
2021-12-31,$189
2021-09-30,$271
2021-06-30,$336
2021-03-31,$237
2020-12-31,$248
2020-09-30,$205
2020-06-30,$-48
2020-03-31,$111
2019-12-31,$265
2019-09-30,$156
2019-06-30,$202
2019-03-31,$122
2018-12-31,$225
2018-09-30,$227
2018-06-30,$197
2018-03-31,$209
2017-12-31,$240
2017-09-30,$270
2017-06-30,$261
2017-03-31,$201
2016-12-31,$234
2016-09-30,$270
2016-06-30,$255
2016-03-31,$172
2015-12-31,$192
2015-09-30,$215
2015-06-30,$186
2015-03-31,$22
2014-12-31,$147
2014-09-30,$151
2014-06-30,$153
2014-03-31,$81
2013-12-31,$95
2013-09-30,$119
2013-06-30,$85
2013-03-31,$50
2012-12-31,$66
2012-09-30,$70
2012-06-30,$73
2012-03-31,$40
2011-12-31,$43
2011-09-30,$47
2011-06-30,$61
2011-03-31,$23
2010-12-31,$46
2010-09-30,$51
2010-06-30,$65
2010-03-31,$21
2009-12-31,$20
2009-09-30,$34
2009-06-30,$46
2009-03-31,$-106
