DuPont De Nemours Quarterly Net Income (Millions of US $),DuPont De Nemours Quarterly Net Income (Millions of US $).1
2024-03-31,$189
2023-12-31,$-22
2023-09-30,$319
2023-06-30,$-131
2023-03-31,$257
2022-12-31,"$4,226"
2022-09-30,$367
2022-06-30,$787
2022-03-31,$488
2021-12-31,$204
2021-09-30,$391
2021-06-30,$478
2021-03-31,"$5,394"
2020-12-31,$222
2020-09-30,$-79
2020-06-30,"$-2,478"
2020-03-31,$-616
2019-12-31,$176
2019-09-30,$372
2019-06-30,$-571
2019-03-31,$521
2018-12-31,$471
2018-09-30,$501
2018-06-30,"$1,769"
2018-03-31,"$1,104"
2017-12-31,"$-1,564"
2017-09-30,$514
2017-06-30,"$1,321"
2017-03-31,$888
2016-12-31,$-33
2016-09-30,$719
2016-06-30,"$3,123"
2016-03-31,$169
2015-12-31,"$3,527"
2015-09-30,"$1,290"
2015-06-30,"$1,135"
2015-03-31,"$1,393"
2014-12-31,$734
2014-09-30,$852
2014-06-30,$882
2014-03-31,$964
2013-12-31,$963
2013-09-30,$594
2013-06-30,"$2,340"
2013-03-31,$550
2012-12-31,$-716
2012-09-30,$497
2012-06-30,$649
2012-03-31,$412
2011-12-31,$-20
2011-09-30,$815
2011-06-30,$982
2011-03-31,$625
2010-12-31,$426
2010-09-30,$512
2010-06-30,$566
2010-03-31,$466
2009-12-31,$87
2009-09-30,$711
2009-06-30,$-486
2009-03-31,$24
