Johnson Controls Quarterly Net Income (Millions of US $),Johnson Controls Quarterly Net Income (Millions of US $).1
2024-03-31,$-277
2023-12-31,$374
2023-09-30,$549
2023-06-30,"$1,049"
2023-03-31,$133
2022-12-31,$118
2022-09-30,$723
2022-06-30,$379
2022-03-31,$11
2021-12-31,$419
2021-09-30,$269
2021-06-30,$574
2021-03-31,$343
2020-12-31,$451
2020-09-30,$441
2020-06-30,$-182
2020-03-31,$213
2019-12-31,$159
2019-09-30,$612
2019-06-30,"$4,192"
2019-03-31,$515
2018-12-31,$355
2018-09-30,$771
2018-06-30,$723
2018-03-31,$438
2017-12-31,$230
2017-09-30,$875
2017-06-30,$555
2017-03-31,$-148
2016-12-31,$329
2016-09-30,"$-1,171"
2016-06-30,$383
2016-03-31,$-530
2015-12-31,$450
2015-09-30,"$1,078"
2015-06-30,$156
2015-03-31,$167
2014-12-31,$162
2014-09-30,$-712
2014-06-30,"$1,450"
2014-03-31,$207
2013-12-31,$270
2013-09-30,$166
2013-06-30,$135
2013-03-31,$72
2012-12-31,$163
2012-09-30,$-419
2012-06-30,$246
2012-03-31,$323
2011-12-31,$322
2011-09-30,$397
2011-06-30,$359
2011-03-31,$315
2010-12-31,$659
2010-09-30,$266
2010-06-30,$254
2010-03-31,$310
2009-12-31,$302
2009-09-30,$205
2009-06-30,$287
2009-03-31,"$-2,567"
