Coterra Energy Quarterly Net Income (Millions of US $),Coterra Energy Quarterly Net Income (Millions of US $).1
2024-03-31,$352
2023-12-31,$416
2023-09-30,$323
2023-06-30,$209
2023-03-31,$677
2022-12-31,"$1,032"
2022-09-30,"$1,196"
2022-06-30,"$1,229"
2022-03-31,$608
2021-12-31,$938
2021-09-30,$64
2021-06-30,$30
2021-03-31,$126
2020-12-31,$132
2020-09-30,$-15
2020-06-30,$30
2020-03-31,$54
2019-12-31,$147
2019-09-30,$90
2019-06-30,$181
2019-03-31,$263
2018-12-31,$275
2018-09-30,$122
2018-06-30,$42
2018-03-31,$117
2017-12-31,$-44
2017-09-30,$18
2017-06-30,$22
2017-03-31,$106
2016-12-31,$-293
2016-09-30,$-10
2016-06-30,$-63
2016-03-31,$-51
2015-12-31,$-111
2015-09-30,$-16
2015-06-30,$-28
2015-03-31,$40
2014-12-31,$-222
2014-09-30,$101
2014-06-30,$118
2014-03-31,$107
2013-12-31,$78
2013-09-30,$70
2013-06-30,$89
2013-03-31,$43
2012-12-31,$41
2012-09-30,$37
2012-06-30,$36
2012-03-31,$18
2011-12-31,$26
2011-09-30,$28
2011-06-30,$55
2011-03-31,$13
2010-12-31,$49
2010-09-30,$4
2010-06-30,$22
2010-03-31,$29
2009-12-31,$36
2009-09-30,$39
2009-06-30,$26
2009-03-31,$48
