Booking Holdings Quarterly Net Income (Millions of US $),Booking Holdings Quarterly Net Income (Millions of US $).1
2024-03-31,$776
2023-12-31,$222
2023-09-30,"$2,511"
2023-06-30,"$1,290"
2023-03-31,$266
2022-12-31,"$1,235"
2022-09-30,"$1,666"
2022-06-30,$857
2022-03-31,$-700
2021-12-31,$618
2021-09-30,$769
2021-06-30,$-167
2021-03-31,$-55
2020-12-31,$-165
2020-09-30,$801
2020-06-30,$122
2020-03-31,$-699
2019-12-31,"$1,171"
2019-09-30,"$1,950"
2019-06-30,$979
2019-03-31,$765
2018-12-31,$646
2018-09-30,"$1,767"
2018-06-30,$978
2018-03-31,$607
2017-12-31,$-555
2017-09-30,"$1,720"
2017-06-30,$720
2017-03-31,$456
2016-12-31,$674
2016-09-30,$506
2016-06-30,$581
2016-03-31,$374
2015-12-31,$504
2015-09-30,"$1,197"
2015-06-30,$517
2015-03-31,$333
2014-12-31,$452
2014-09-30,"$1,062"
2014-06-30,$576
2014-03-31,$331
2013-12-31,$378
2013-09-30,$833
2013-06-30,$437
2013-03-31,$244
2012-12-31,$289
2012-09-30,$597
2012-06-30,$352
2012-03-31,$182
2011-12-31,$226
2011-09-30,$469
2011-06-30,$256
2011-03-31,$105
2010-12-31,$136
2010-09-30,$223
2010-06-30,$115
2010-03-31,$54
2009-12-31,$78
2009-09-30,$319
2009-06-30,$67
2009-03-31,$25
