Northern Trust Quarterly Net Income (Millions of US $),Northern Trust Quarterly Net Income (Millions of US $).1
2024-03-31,$199
2023-12-31,$103
2023-09-30,$309
2023-06-30,$324
2023-03-31,$318
2022-12-31,$149
2022-09-30,$375
2022-06-30,$388
2022-03-31,$370
2021-12-31,$393
2021-09-30,$380
2021-06-30,$363
2021-03-31,$355
2020-12-31,$228
2020-09-30,$278
2020-06-30,$309
2020-03-31,$326
2019-12-31,$348
2019-09-30,$367
2019-06-30,$384
2019-03-31,$330
2018-12-31,$404
2018-09-30,$357
2018-06-30,$385
2018-03-31,$364
2017-12-31,$336
2017-09-30,$281
2017-06-30,$262
2017-03-31,$251
2016-12-31,$246
2016-09-30,$252
2016-06-30,$257
2016-03-31,$235
2015-12-31,$218
2015-09-30,$229
2015-06-30,$263
2015-03-31,$225
2014-12-31,$221
2014-09-30,$205
2014-06-30,$182
2014-03-31,$181
2013-12-31,$161
2013-09-30,$207
2013-06-30,$188
2013-03-31,$164
2012-12-31,$165
2012-09-30,$176
2012-06-30,$177
2012-03-31,$159
2011-12-31,$129
2011-09-30,$168
2011-06-30,$150
2011-03-31,$149
2010-12-31,$152
2010-09-30,$156
2010-06-30,$200
2010-03-31,$157
2009-12-31,$200
2009-09-30,$188
2009-06-30,$226
2009-03-31,$139
