Hologic Quarterly Net Income (Millions of US $),Hologic Quarterly Net Income (Millions of US $).1
2024-03-31,$170
2023-12-31,$247
2023-09-30,$91
2023-06-30,$-41
2023-03-31,$219
2022-12-31,$187
2022-09-30,$119
2022-06-30,$228
2022-03-31,$456
2021-12-31,$499
2021-09-30,$329
2021-06-30,$268
2021-03-31,$620
2020-12-31,$654
2020-09-30,$495
2020-06-30,$138
2020-03-31,$96
2019-12-31,$386
2019-09-30,$-124
2019-06-30,$94
2019-03-31,$-273
2018-12-31,$99
2018-09-30,$51
2018-06-30,$113
2018-03-31,$-681
2017-12-31,$407
2017-09-30,$83
2017-06-30,$60
2017-03-31,$527
2016-12-31,$87
2016-09-30,$92
2016-06-30,$85
2016-03-31,$69
2015-12-31,$85
2015-09-30,$25
2015-06-30,$29
2015-03-31,$48
2014-12-31,$29
2014-09-30,$28
2014-06-30,$11
2014-03-31,$-17
2013-12-31,$-5
2013-09-30,"$-1,114"
2013-06-30,$-11
2013-03-31,$-51
2012-12-31,$3
2012-09-30,$-78
2012-06-30,$24
2012-03-31,$-40
2011-12-31,$21
2011-09-30,$28
2011-06-30,$36
2011-03-31,$82
2010-12-31,$11
2010-09-30,$-137
2010-06-30,$27
2010-03-31,$21
2009-12-31,$26
2009-09-30,$25
2009-06-30,$31
2009-03-31,"$-2,310"
