Kroger Quarterly Net Income (Millions of US $),Kroger Quarterly Net Income (Millions of US $).1
2024-04-30,$947
2024-01-31,$736
2023-10-31,$646
2023-07-31,$-180
2023-04-30,$962
2023-01-31,$451
2022-10-31,$398
2022-07-31,$731
2022-04-30,$664
2022-01-31,$565
2021-10-31,$483
2021-07-31,$467
2021-04-30,$140
2021-01-31,$-77
2020-10-31,$631
2020-07-31,$819
2020-04-30,"$1,212"
2020-01-31,$327
2019-10-31,$263
2019-07-31,$297
2019-04-30,$772
2019-01-31,$259
2018-10-31,$317
2018-07-31,$508
2018-04-30,"$2,026"
2018-01-31,$854
2017-10-31,$397
2017-07-31,$353
2017-04-30,$303
2017-01-31,$505
2016-10-31,$391
2016-07-31,$383
2016-04-30,$696
2016-01-31,$559
2015-10-31,$428
2015-07-31,$433
2015-04-30,$619
2015-01-31,$518
2014-10-31,$362
2014-07-31,$347
2014-04-30,$501
2014-01-31,$422
2013-10-31,$299
2013-07-31,$317
2013-04-30,$481
2013-01-31,$462
2012-10-31,$317
2012-07-31,$279
2012-04-30,$439
2012-01-31,$-307
2011-10-31,$196
2011-07-31,$281
2011-04-30,$432
2011-01-31,$278
2010-10-31,$202
2010-07-31,$262
2010-04-30,$374
2010-01-31,$255
2009-10-31,$-875
2009-07-31,$255
2009-04-30,$435
2009-01-31,$349
