Trimble Quarterly Net Income (Millions of US $),Trimble Quarterly Net Income (Millions of US $).1
2024-03-31,$57
2023-12-31,$63
2023-09-30,$75
2023-06-30,$45
2023-03-31,$129
2022-12-31,$86
2022-09-30,$86
2022-06-30,$168
2022-03-31,$110
2021-12-31,$115
2021-09-30,$124
2021-06-30,$139
2021-03-31,$115
2020-12-31,$180
2020-09-30,$85
2020-06-30,$63
2020-03-31,$62
2019-12-31,$279
2019-09-30,$78
2019-06-30,$95
2019-03-31,$62
2018-12-31,$87
2018-09-30,$74
2018-06-30,$64
2018-03-31,$59
2017-12-31,$-36
2017-09-30,$57
2017-06-30,$47
2017-03-31,$50
2016-12-31,$38
2016-09-30,$39
2016-06-30,$36
2016-03-31,$20
2015-12-31,$24
2015-09-30,$37
2015-06-30,$26
2015-03-31,$34
2014-12-31,$56
2014-09-30,$12
2014-06-30,$78
2014-03-31,$69
2013-12-31,$60
2013-09-30,$54
2013-06-30,$55
2013-03-31,$50
2012-12-31,$33
2012-09-30,$53
2012-06-30,$54
2012-03-31,$51
2011-12-31,$29
2011-09-30,$28
2011-06-30,$54
2011-03-31,$40
2010-12-31,$37
2010-09-30,$33
2010-06-30,$6
2010-03-31,$28
2009-12-31,$10
2009-09-30,$16
2009-06-30,$21
2009-03-31,$17
