Hormel Foods Quarterly Net Income (Millions of US $),Hormel Foods Quarterly Net Income (Millions of US $).1
2024-04-30,$189
2024-01-31,$219
2023-10-31,$196
2023-07-31,$163
2023-04-30,$217
2023-01-31,$218
2022-10-31,$280
2022-07-31,$219
2022-04-30,$262
2022-01-31,$240
2021-10-31,$282
2021-07-31,$177
2021-04-30,$228
2021-01-31,$222
2020-10-31,$234
2020-07-31,$203
2020-04-30,$228
2020-01-31,$243
2019-10-31,$256
2019-07-31,$199
2019-04-30,$282
2019-01-31,$241
2018-10-31,$261
2018-07-31,$210
2018-04-30,$237
2018-01-31,$303
2017-10-31,$218
2017-07-31,$183
2017-04-30,$211
2017-01-31,$235
2016-10-31,$244
2016-07-31,$196
2016-04-30,$215
2016-01-31,$235
2015-10-31,$187
2015-07-31,$147
2015-04-30,$180
2015-01-31,$172
2014-10-31,$171
2014-07-31,$138
2014-04-30,$140
2014-01-31,$153
2013-10-31,$157
2013-07-31,$114
2013-04-30,$126
2013-01-31,$130
2012-10-31,$133
2012-07-31,$111
2012-04-30,$128
2012-01-31,$128
2011-10-31,$117
2011-07-31,$98
2011-04-30,$110
2011-01-31,$149
2010-10-31,$121
2010-07-31,$85
2010-04-30,$78
2010-01-31,$111
2009-10-31,$104
2009-07-31,$77
2009-04-30,$80
2009-01-31,$81
