AMETEK Quarterly Net Income (Millions of US $),AMETEK Quarterly Net Income (Millions of US $).1
2024-03-31,$311
2023-12-31,$343
2023-09-30,$340
2023-06-30,$324
2023-03-31,$306
2022-12-31,$307
2022-09-30,$298
2022-06-30,$282
2022-03-31,$272
2021-12-31,$282
2021-09-30,$257
2021-06-30,$232
2021-03-31,$219
2020-12-31,$221
2020-09-30,$205
2020-06-30,$166
2020-03-31,$281
2019-12-31,$221
2019-09-30,$221
2019-06-30,$216
2019-03-31,$204
2018-12-31,$212
2018-09-30,$191
2018-06-30,$194
2018-03-31,$181
2017-12-31,$239
2017-09-30,$154
2017-06-30,$150
2017-03-31,$139
2016-12-31,$109
2016-09-30,$131
2016-06-30,$138
2016-03-31,$134
2015-12-31,$137
2015-09-30,$156
2015-06-30,$156
2015-03-31,$142
2014-12-31,$152
2014-09-30,$142
2014-06-30,$150
2014-03-31,$141
2013-12-31,$136
2013-09-30,$128
2013-06-30,$128
2013-03-31,$125
2012-12-31,$120
2012-09-30,$115
2012-06-30,$114
2012-03-31,$110
2011-12-31,$102
2011-09-30,$98
2011-06-30,$94
2011-03-31,$90
2010-12-31,$81
2010-09-30,$77
2010-06-30,$67
2010-03-31,$58
2009-12-31,$52
2009-09-30,$43
2009-06-30,$52
2009-03-31,$59
