Campbell Soup Quarterly Net Income (Millions of US $),Campbell Soup Quarterly Net Income (Millions of US $).1
2024-04-30,$133
2024-01-31,$203
2023-10-31,$234
2023-07-31,$169
2023-04-30,$160
2023-01-31,$232
2022-10-31,$297
2022-07-31,$96
2022-04-30,$188
2022-01-31,$212
2021-10-31,$261
2021-07-31,$288
2021-04-30,$160
2021-01-31,$245
2020-10-31,$309
2020-07-31,$86
2020-04-30,$168
2020-01-31,"$1,208"
2019-10-31,$166
2019-07-31,$-8
2019-04-30,$84
2019-01-31,$-59
2018-10-31,$194
2018-07-31,$94
2018-04-30,$-393
2018-01-31,$285
2017-10-31,$275
2017-07-31,$318
2017-04-30,$176
2017-01-31,$101
2016-10-31,$292
2016-07-31,$-81
2016-04-30,$185
2016-01-31,$265
2015-10-31,$194
2015-07-31,$17
2015-04-30,$179
2015-01-31,$222
2014-10-31,$248
2014-07-31,$185
2014-04-30,$184
2014-01-31,$325
2013-10-31,$172
2013-07-31,$-158
2013-04-30,$181
2013-01-31,$190
2012-10-31,$245
2012-07-31,$130
2012-04-30,$176
2012-01-31,$205
2011-10-31,$263
2011-07-31,$100
2011-04-30,$187
2011-01-31,$239
2010-10-31,$279
2010-07-31,$108
2010-04-30,$168
2010-01-31,$254
2009-10-31,$300
2009-07-31,$66
2009-04-30,$174
2009-01-31,$229
