Goldman Sachs Quarterly Net Income (Millions of US $),Goldman Sachs Quarterly Net Income (Millions of US $).1
2024-03-31,"$3,931"
2023-12-31,"$1,867"
2023-09-30,"$1,882"
2023-06-30,"$1,071"
2023-03-31,"$3,087"
2022-12-31,"$1,185"
2022-09-30,"$2,962"
2022-06-30,"$2,786"
2022-03-31,"$3,831"
2021-12-31,"$3,809"
2021-09-30,"$5,284"
2021-06-30,"$5,347"
2021-03-31,"$6,711"
2020-12-31,"$4,362"
2020-09-30,"$3,233"
2020-06-30,$197
2020-03-31,"$1,123"
2019-12-31,"$1,724"
2019-09-30,"$1,793"
2019-06-30,"$2,198"
2019-03-31,"$2,182"
2018-12-31,"$2,322"
2018-09-30,"$2,453"
2018-06-30,"$2,348"
2018-03-31,"$2,737"
2017-12-31,"$-2,143"
2017-09-30,"$2,035"
2017-06-30,"$1,631"
2017-03-31,"$2,162"
2016-12-31,"$2,153"
2016-09-30,"$2,100"
2016-06-30,"$1,634"
2016-03-31,"$1,200"
2015-12-31,$574
2015-09-30,"$1,330"
2015-06-30,$916
2015-03-31,"$2,748"
2014-12-31,"$2,032"
2014-09-30,"$2,143"
2014-06-30,"$1,953"
2014-03-31,"$1,949"
2013-12-31,"$2,248"
2013-09-30,"$1,429"
2013-06-30,"$1,861"
2013-03-31,"$2,188"
2012-12-31,"$2,833"
2012-09-30,"$1,458"
2012-06-30,$927
2012-03-31,"$2,074"
2011-12-31,$978
2011-09-30,$-428
2011-06-30,"$1,052"
2011-03-31,$908
2010-12-31,"$2,227"
2010-09-30,"$1,737"
2010-06-30,$453
2010-03-31,"$3,296"
2009-12-31,"$4,787"
2009-09-30,"$3,028"
2009-06-30,"$2,718"
2009-03-31,"$1,659"
