Hartford Financial Services Quarterly Net Income (Millions of US $),Hartford Financial Services Quarterly Net Income (Millions of US $).1
2024-03-31,$748
2023-12-31,$766
2023-09-30,$645
2023-06-30,$542
2023-03-31,$530
2022-12-31,$587
2022-09-30,$334
2022-06-30,$439
2022-03-31,$438
2021-12-31,$730
2021-09-30,$476
2021-06-30,$900
2021-03-31,$244
2020-12-31,$532
2020-09-30,$453
2020-06-30,$463
2020-03-31,$268
2019-12-31,$543
2019-09-30,$524
2019-06-30,$372
2019-03-31,$625
2018-12-31,$190
2018-09-30,$432
2018-06-30,$582
2018-03-31,$597
2017-12-31,"$-3,703"
2017-09-30,$234
2017-06-30,$-40
2017-03-31,$378
2016-12-31,$-81
2016-09-30,$438
2016-06-30,$216
2016-03-31,$323
2015-12-31,$421
2015-09-30,$381
2015-06-30,$413
2015-03-31,$467
2014-12-31,$382
2014-09-30,$388
2014-06-30,$-467
2014-03-31,$495
2013-12-31,$314
2013-09-30,$293
2013-06-30,$-190
2013-03-31,$-251
2012-12-31,$-57
2012-09-30,$3
2012-06-30,$-112
2012-03-31,$86
2011-12-31,$107
2011-09-30,$50
2011-06-30,$22
2011-03-31,$491
2010-12-31,$564
2010-09-30,$656
2010-06-30,$65
2010-03-31,$-164
2009-12-31,$495
2009-09-30,$-282
2009-06-30,$-18
2009-03-31,"$-1,209"
