Global Payments Quarterly Net Income (Millions of US $),Global Payments Quarterly Net Income (Millions of US $).1
2024-03-31,$313
2023-12-31,$361
2023-09-30,$362
2023-06-30,$274
2023-03-31,$-11
2022-12-31,$249
2022-09-30,$290
2022-06-30,$-673
2022-03-31,$245
2021-12-31,$208
2021-09-30,$297
2021-06-30,$264
2021-03-31,$197
2020-12-31,$183
2020-09-30,$221
2020-06-30,$37
2020-03-31,$144
2019-12-31,$103
2019-09-30,$95
2019-06-30,$120
2019-03-31,$112
2018-12-31,$75
2018-09-30,$176
2018-06-30,$109
2018-03-31,$91
2017-12-31,$242
2017-09-30,$111
2017-06-30,$67
2017-03-31,$49
2016-12-31,$55
2016-11-30,$49
2016-09-30,$56
2016-08-31,$85
2016-06-30,$62
2016-05-31,
2016-03-31,$60
2016-02-29,$69
2015-11-30,$79
2015-08-31,$87
2015-05-31,
2015-02-28,$63
2014-11-30,$75
2014-08-31,$75
2014-05-31,
2014-02-28,$55
2013-11-30,$74
2013-08-31,$65
2013-05-31,
2013-02-28,$58
2012-11-30,$70
2012-08-31,$47
2012-05-31,
2012-02-29,$58
2011-11-30,$61
2011-08-31,$64
2011-05-31,
2011-02-28,$48
2010-11-30,$54
2010-08-31,$49
2010-05-31,
2010-02-28,$48
2009-11-30,$63
2009-08-31,$58
2009-05-31,
2009-02-28,$-107
