Akamai Technologies Quarterly Net Income (Millions of US $),Akamai Technologies Quarterly Net Income (Millions of US $).1
2024-03-31,$175
2023-12-31,$161
2023-09-30,$161
2023-06-30,$129
2023-03-31,$97
2022-12-31,$129
2022-09-30,$124
2022-06-30,$138
2022-03-31,$133
2021-12-31,$161
2021-09-30,$179
2021-06-30,$156
2021-03-31,$156
2020-12-31,$113
2020-09-30,$159
2020-06-30,$162
2020-03-31,$123
2019-12-31,$119
2019-09-30,$138
2019-06-30,$114
2019-03-31,$107
2018-12-31,$94
2018-09-30,$108
2018-06-30,$43
2018-03-31,$54
2017-12-31,$28
2017-09-30,$64
2017-06-30,$57
2017-03-31,$75
2016-12-31,$96
2016-09-30,$76
2016-06-30,$74
2016-03-31,$75
2015-12-31,$88
2015-09-30,$88
2015-06-30,$67
2015-03-31,$78
2014-12-31,$97
2014-09-30,$91
2014-06-30,$73
2014-03-31,$73
2013-12-31,$80
2013-09-30,$80
2013-06-30,$62
2013-03-31,$71
2012-12-31,$68
2012-09-30,$48
2012-06-30,$44
2012-03-31,$43
2011-12-31,$60
2011-09-30,$42
2011-06-30,$48
2011-03-31,$51
2010-12-31,$53
2010-09-30,$40
2010-06-30,$38
2010-03-31,$41
2009-12-31,$40
2009-09-30,$33
2009-06-30,$36
2009-03-31,$37
