Super Micro Computer Quarterly Net Income (Millions of US $),Super Micro Computer Quarterly Net Income (Millions of US $).1
2024-03-31,$402
2023-12-31,$296
2023-09-30,$157
2023-06-30,$194
2023-03-31,$86
2022-12-31,$176
2022-09-30,$184
2022-06-30,$141
2022-03-31,$77
2021-12-31,$42
2021-09-30,$25
2021-06-30,$39
2021-03-31,$18
2020-12-31,$28
2020-09-30,$27
2020-06-30,$18
2020-03-31,$16
2019-12-31,$24
2019-09-30,$26
2019-06-30,$24
2019-03-31,$11
2018-12-31,$18
2018-09-30,$19
2018-06-30,$26
2018-03-31,$15
2017-12-31,$-1
2017-09-30,$6
2017-06-30,$13
2017-03-31,$15
2016-12-31,$23
2016-09-30,$15
2016-06-30,$5
2016-03-31,$16
2015-12-31,$33
2015-09-30,$17
2015-06-30,$17
2015-03-31,$23
2014-12-31,$31
2014-09-30,$21
2014-06-30,$17
2014-03-31,$17
2013-12-31,$13
2013-09-30,$8
2013-06-30,$8
2013-03-31,$7
2012-12-31,$5
2012-09-30,$1
2012-06-30,$5
2012-03-31,$7
2011-12-31,$9
2011-09-30,$8
2011-06-30,$10
2011-03-31,$11
2010-12-31,$12
2010-09-30,$7
2010-06-30,$7
2010-03-31,$8
2009-12-31,$8
2009-09-30,$4
2009-06-30,$2
2009-03-31,$1
