NIKE Quarterly Net Income (Millions of US $),NIKE Quarterly Net Income (Millions of US $).1
2024-02-29,"$1,172"
2023-11-30,"$1,578"
2023-08-31,"$1,450"
2023-05-31,"$1,031"
2023-02-28,"$1,240"
2022-11-30,"$1,331"
2022-08-31,"$1,468"
2022-05-31,"$1,439"
2022-02-28,"$1,396"
2021-11-30,"$1,337"
2021-08-31,"$1,874"
2021-05-31,"$1,509"
2021-02-28,"$1,449"
2020-11-30,"$1,251"
2020-08-31,"$1,518"
2020-05-31,$-790
2020-02-29,$847
2019-11-30,"$1,115"
2019-08-31,"$1,367"
2019-05-31,$989
2019-02-28,"$1,101"
2018-11-30,$847
2018-08-31,"$1,092"
2018-05-31,"$1,137"
2018-02-28,$-921
2017-11-30,$767
2017-08-31,$950
2017-05-31,"$1,008"
2017-02-28,"$1,141"
2016-11-30,$842
2016-08-31,"$1,249"
2016-05-31,$846
2016-02-29,$950
2015-11-30,$785
2015-08-31,"$1,179"
2015-05-31,$865
2015-02-28,$791
2014-11-30,$655
2014-08-31,$962
2014-05-31,$698
2014-02-28,$682
2013-11-30,$534
2013-08-31,$779
2013-05-31,$655
2013-02-28,$866
2012-11-30,$384
2012-08-31,$567
2012-05-31,$537
2012-02-29,$560
2011-11-30,$469
2011-08-31,$645
2011-05-31,$594
2011-02-28,$523
2010-11-30,$457
2010-08-31,$559
2010-05-31,$522
2010-02-28,$497
2009-11-30,$375
2009-08-31,$513
2009-05-31,$342
2009-02-28,$244
