Adobe Quarterly Net Income (Millions of US $),Adobe Quarterly Net Income (Millions of US $).1
2024-05-31,"$1,573"
2024-02-29,$620
2023-11-30,"$1,483"
2023-08-31,"$1,403"
2023-05-31,"$1,295"
2023-02-28,"$1,247"
2022-11-30,"$1,176"
2022-08-31,"$1,136"
2022-05-31,"$1,178"
2022-02-28,"$1,266"
2021-11-30,"$1,233"
2021-08-31,"$1,212"
2021-05-31,"$1,116"
2021-02-28,"$1,261"
2020-11-30,"$2,250"
2020-08-31,$955
2020-05-31,"$1,100"
2020-02-29,$955
2019-11-30,$851
2019-08-31,$793
2019-05-31,$633
2019-02-28,$674
2018-11-30,$678
2018-08-31,$666
2018-05-31,$663
2018-02-28,$583
2017-11-30,$502
2017-08-31,$420
2017-05-31,$374
2017-02-28,$398
2016-11-30,$400
2016-08-31,$271
2016-05-31,$244
2016-02-29,$254
2015-11-30,$223
2015-08-31,$174
2015-05-31,$147
2015-02-28,$85
2014-11-30,$88
2014-08-31,$45
2014-05-31,$89
2014-02-28,$47
2013-11-30,$65
2013-08-31,$83
2013-05-31,$77
2013-02-28,$65
2012-11-30,$222
2012-08-31,$201
2012-05-31,$224
2012-02-29,$185
2011-11-30,$174
2011-08-31,$195
2011-05-31,$229
2011-02-28,$235
2010-11-30,$269
2010-08-31,$230
2010-05-31,$149
2010-02-28,$127
2009-11-30,$-32
2009-08-31,$136
2009-05-31,$126
2009-02-28,$156
