CBRE Quarterly Net Income (Millions of US $),CBRE Quarterly Net Income (Millions of US $).1
2024-03-31,$126
2023-12-31,$477
2023-09-30,$191
2023-06-30,$201
2023-03-31,$117
2022-12-31,$81
2022-09-30,$447
2022-06-30,$487
2022-03-31,$392
2021-12-31,$692
2021-09-30,$436
2021-06-30,$443
2021-03-31,$266
2020-12-31,$314
2020-09-30,$184
2020-06-30,$82
2020-03-31,$172
2019-12-31,$638
2019-09-30,$257
2019-06-30,$224
2019-03-31,$164
2018-12-31,$394
2018-09-30,$290
2018-06-30,$229
2018-03-31,$150
2017-12-31,$159
2017-09-30,$199
2017-06-30,$202
2017-03-31,$137
2016-12-31,$265
2016-09-30,$104
2016-06-30,$122
2016-03-31,$82
2015-12-31,$180
2015-09-30,$149
2015-06-30,$125
2015-03-31,$93
2014-12-31,$204
2014-09-30,$107
2014-06-30,$105
2014-03-31,$68
2013-12-31,$115
2013-09-30,$94
2013-06-30,$70
2013-03-31,$38
2012-12-31,$173
2012-09-30,$40
2012-06-30,$76
2012-03-31,$27
2011-12-31,$80
2011-09-30,$64
2011-06-30,$61
2011-03-31,$34
2010-12-31,$95
2010-09-30,$57
2010-06-30,$55
2010-03-31,$-7
2009-12-31,$64
2009-09-30,$12
2009-06-30,$-7
2009-03-31,$-37
