Old Dominion Freight Line Quarterly Net Income (Millions of US $),Old Dominion Freight Line Quarterly Net Income (Millions of US $).1
2024-03-31,$292
2023-12-31,$323
2023-09-30,$339
2023-06-30,$292
2023-03-31,$285
2022-12-31,$324
2022-09-30,$377
2022-06-30,$376
2022-03-31,$300
2021-12-31,$279
2021-09-30,$287
2021-06-30,$270
2021-03-31,$199
2020-12-31,$190
2020-09-30,$202
2020-06-30,$148
2020-03-31,$133
2019-12-31,$144
2019-09-30,$164
2019-06-30,$174
2019-03-31,$133
2018-12-31,$159
2018-09-30,$173
2018-06-30,$163
2018-03-31,$109
2017-12-31,$197
2017-09-30,$102
2017-06-30,$98
2017-03-31,$66
2016-12-31,$69
2016-09-30,$86
2016-06-30,$81
2016-03-31,$60
2015-12-31,$72
2015-09-30,$84
2015-06-30,$86
2015-03-31,$63
2014-12-31,$70
2014-09-30,$78
2014-06-30,$74
2014-03-31,$46
2013-12-31,$47
2013-09-30,$60
2013-06-30,$58
2013-03-31,$41
2012-12-31,$39
2012-09-30,$51
2012-06-30,$48
2012-03-31,$31
2011-12-31,$40
2011-09-30,$39
2011-06-30,$39
2011-03-31,$22
2010-12-31,$22
2010-09-30,$24
2010-06-30,$22
2010-03-31,$8
2009-12-31,$10
2009-09-30,$10
2009-06-30,$11
2009-03-31,$4
