Revvity Quarterly Net Income (Millions of US $),Revvity Quarterly Net Income (Millions of US $).1
2024-03-31,$26
2023-12-31,$79
2023-09-30,$9
2023-06-30,$36
2023-03-31,$569
2022-12-31,$128
2022-09-30,$85
2022-06-30,$179
2022-03-31,$177
2021-12-31,$190
2021-09-30,$128
2021-06-30,$246
2021-03-31,$379
2020-12-31,$380
2020-09-30,$177
2020-06-30,$137
2020-03-31,$34
2019-12-31,$65
2019-09-30,$59
2019-06-30,$69
2019-03-31,$35
2018-12-31,$71
2018-09-30,$77
2018-06-30,$64
2018-03-31,$26
2017-12-31,$-41
2017-09-30,$91
2017-06-30,$204
2017-03-31,$39
2016-12-31,$65
2016-09-30,$58
2016-06-30,$64
2016-03-31,$47
2015-12-31,$68
2015-09-30,$55
2015-06-30,$49
2015-03-31,$40
2014-12-31,$31
2014-09-30,$42
2014-06-30,$50
2014-03-31,$34
2013-12-31,$67
2013-09-30,$40
2013-06-30,$28
2013-03-31,$32
2012-12-31,$-16
2012-09-30,$30
2012-06-30,$34
2012-03-31,$23
2011-12-31,$-84
2011-09-30,$37
2011-06-30,$30
2011-03-31,$25
2010-12-31,$296
2010-09-30,$13
2010-06-30,$58
2010-03-31,$24
2009-12-31,$36
2009-09-30,$14
2009-06-30,$22
2009-03-31,$11
