Cummins Quarterly Net Income (Millions of US $),Cummins Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,993"
2023-12-31,"$-1,431"
2023-09-30,$656
2023-06-30,$720
2023-03-31,$790
2022-12-31,$631
2022-09-30,$400
2022-06-30,$702
2022-03-31,$418
2021-12-31,$394
2021-09-30,$534
2021-06-30,$600
2021-03-31,$603
2020-12-31,$501
2020-09-30,$501
2020-06-30,$276
2020-03-31,$511
2019-12-31,$300
2019-09-30,$622
2019-06-30,$675
2019-03-31,$663
2018-12-31,$579
2018-09-30,$692
2018-06-30,$545
2018-03-31,$325
2017-12-31,$-274
2017-09-30,$453
2017-06-30,$424
2017-03-31,$396
2016-12-31,$378
2016-09-30,$289
2016-06-30,$406
2016-03-31,$321
2015-12-31,$161
2015-09-30,$380
2015-06-30,$471
2015-03-31,$387
2014-12-31,$444
2014-09-30,$423
2014-06-30,$446
2014-03-31,$338
2013-12-31,$432
2013-09-30,$355
2013-06-30,$414
2013-03-31,$282
2012-12-31,$369
2012-09-30,$352
2012-06-30,$469
2012-03-31,$455
2011-12-31,$548
2011-09-30,$452
2011-06-30,$505
2011-03-31,$343
2010-12-31,$362
2010-09-30,$283
2010-06-30,$246
2010-03-31,$149
2009-12-31,$270
2009-09-30,$95
2009-06-30,$56
2009-03-31,$7
