Texas Instruments Quarterly Net Income (Millions of US $),Texas Instruments Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,100"
2023-12-31,"$1,363"
2023-09-30,"$1,700"
2023-06-30,"$1,714"
2023-03-31,"$1,699"
2022-12-31,"$1,952"
2022-09-30,"$2,284"
2022-06-30,"$2,281"
2022-03-31,"$2,192"
2021-12-31,"$2,129"
2021-09-30,"$1,938"
2021-06-30,"$1,924"
2021-03-31,"$1,745"
2020-12-31,"$1,668"
2020-09-30,"$1,353"
2020-06-30,"$1,373"
2020-03-31,"$1,174"
2019-12-31,"$1,046"
2019-09-30,"$1,425"
2019-06-30,"$1,305"
2019-03-31,"$1,209"
2018-12-31,"$1,196"
2018-09-30,"$1,570"
2018-06-30,"$1,405"
2018-03-31,"$1,366"
2017-12-31,$310
2017-09-30,"$1,285"
2017-06-30,"$1,056"
2017-03-31,$997
2016-12-31,"$1,047"
2016-09-30,"$1,018"
2016-06-30,$819
2016-03-31,$711
2015-12-31,$836
2015-09-30,$798
2015-06-30,$696
2015-03-31,$656
2014-12-31,$811
2014-09-30,$813
2014-06-30,$673
2014-03-31,$480
2013-12-31,$503
2013-09-30,$618
2013-06-30,$649
2013-03-31,$355
2012-12-31,$260
2012-09-30,$769
2012-06-30,$438
2012-03-31,$261
2011-12-31,$293
2011-09-30,$591
2011-06-30,$661
2011-03-31,$656
2010-12-31,$922
2010-09-30,$846
2010-06-30,$758
2010-03-31,$658
2009-12-31,$641
2009-09-30,$538
2009-06-30,$260
2009-03-31,$17
