Marsh & McLennan Quarterly Net Income (Millions of US $),Marsh & McLennan Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,400"
2023-12-31,$756
2023-09-30,$730
2023-06-30,"$1,035"
2023-03-31,"$1,235"
2022-12-31,$466
2022-09-30,$546
2022-06-30,$967
2022-03-31,"$1,071"
2021-12-31,$803
2021-09-30,$537
2021-06-30,$820
2021-03-31,$983
2020-12-31,$374
2020-09-30,$316
2020-06-30,$572
2020-03-31,$754
2019-12-31,$391
2019-09-30,$303
2019-06-30,$332
2019-03-31,$716
2018-12-31,$153
2018-09-30,$276
2018-06-30,$531
2018-03-31,$690
2017-12-31,$29
2017-09-30,$393
2017-06-30,$501
2017-03-31,$569
2016-12-31,$436
2016-09-30,$379
2016-06-30,$472
2016-03-31,$481
2015-12-31,$375
2015-09-30,$323
2015-06-30,$419
2015-03-31,$482
2014-12-31,$294
2014-09-30,$297
2014-06-30,$431
2014-03-31,$443
2013-12-31,$303
2013-09-30,$253
2013-06-30,$388
2013-03-31,$413
2012-12-31,$259
2012-09-30,$241
2012-06-30,$329
2012-03-31,$347
2011-12-31,$262
2011-09-30,$129
2011-06-30,$280
2011-03-31,$322
2010-12-31,$195
2010-09-30,$165
2010-06-30,$236
2010-03-31,$248
2009-12-31,$19
2009-09-30,$221
2009-06-30,$-193
2009-03-31,$176
