BorgWarner Quarterly Net Income (Millions of US $),BorgWarner Quarterly Net Income (Millions of US $).1
2024-03-31,$206
2023-12-31,$154
2023-09-30,$50
2023-06-30,$204
2023-03-31,$217
2022-12-31,$255
2022-09-30,$273
2022-06-30,$216
2022-03-31,$200
2021-12-31,$129
2021-09-30,$96
2021-06-30,$247
2021-03-31,$65
2020-12-31,$358
2020-09-30,$111
2020-06-30,$-98
2020-03-31,$129
2019-12-31,$220
2019-09-30,$194
2019-06-30,$172
2019-03-31,$160
2018-12-31,$230
2018-09-30,$204
2018-06-30,$272
2018-03-31,$225
2017-12-31,$-146
2017-09-30,$185
2017-06-30,$212
2017-03-31,$189
2016-12-31,$183
2016-09-30,$83
2016-06-30,$164
2016-03-31,$164
2015-12-31,$93
2015-09-30,$157
2015-06-30,$148
2015-03-31,$179
2014-12-31,$140
2014-09-30,$167
2014-06-30,$190
2014-03-31,$159
2013-12-31,$141
2013-09-30,$167
2013-06-30,$174
2013-03-31,$142
2012-12-31,$121
2012-09-30,$101
2012-06-30,$121
2012-03-31,$158
2011-12-31,$122
2011-09-30,$142
2011-06-30,$162
2011-03-31,$125
2010-12-31,$112
2010-09-30,$107
2010-06-30,$83
2010-03-31,$76
2009-12-31,$53
2009-09-30,$17
2009-06-30,$-36
2009-03-31,$-7
