Franklin Resources Quarterly Net Income (Millions of US $),Franklin Resources Quarterly Net Income (Millions of US $).1
2024-03-31,$117
2023-12-31,$242
2023-09-30,$285
2023-06-30,$217
2023-03-31,$185
2022-12-31,$158
2022-09-30,$224
2022-06-30,$245
2022-03-31,$335
2021-12-31,$434
2021-09-30,$639
2021-06-30,$419
2021-03-31,$365
2020-12-31,$331
2020-09-30,$74
2020-06-30,$286
2020-03-31,$77
2019-12-31,$346
2019-09-30,$304
2019-06-30,$243
2019-03-31,$364
2018-12-31,$273
2018-09-30,$489
2018-06-30,$399
2018-03-31,$443
2017-12-31,$-584
2017-09-30,$423
2017-06-30,$407
2017-03-31,$417
2016-12-31,$437
2016-09-30,$470
2016-06-30,$443
2016-03-31,$358
2015-12-31,$445
2015-09-30,$354
2015-06-30,$504
2015-03-31,$603
2014-12-31,$563
2014-09-30,$638
2014-06-30,$575
2014-03-31,$557
2013-12-31,$600
2013-09-30,$499
2013-06-30,$548
2013-03-31,$573
2012-12-31,$516
2012-09-30,$490
2012-06-30,$452
2012-03-31,$500
2011-12-31,$477
2011-09-30,$415
2011-06-30,$500
2011-03-31,$500
2010-12-31,$499
2010-09-30,$373
2010-06-30,$358
2010-03-31,$355
2009-12-31,$352
2009-09-30,$365
2009-06-30,$295
2009-03-31,$110
