Garmin Quarterly Net Income (Millions of US $),Garmin Quarterly Net Income (Millions of US $).1
2024-03-31,$276
2023-12-31,$542
2023-09-30,$257
2023-06-30,$288
2023-03-31,$202
2022-12-31,$293
2022-09-30,$211
2022-06-30,$258
2022-03-31,$212
2021-12-31,$286
2021-09-30,$259
2021-06-30,$317
2021-03-31,$220
2020-12-31,$334
2020-09-30,$313
2020-06-30,$184
2020-03-31,$161
2019-12-31,$361
2019-09-30,$228
2019-06-30,$224
2019-03-31,$140
2018-12-31,$190
2018-09-30,$184
2018-06-30,$190
2018-03-31,$129
2017-12-31,$143
2017-09-30,$151
2017-06-30,$177
2017-03-31,$238
2016-12-31,$144
2016-09-30,$125
2016-06-30,$161
2016-03-31,$88
2015-12-31,$132
2015-09-30,$119
2015-06-30,$138
2015-03-31,$67
2014-12-31,$210
2014-09-30,$-147
2014-06-30,$182
2014-03-31,$119
2013-12-31,$164
2013-09-30,$188
2013-06-30,$172
2013-03-31,$89
2012-12-31,$129
2012-09-30,$140
2012-06-30,$186
2012-03-31,$87
2011-12-31,$166
2011-09-30,$150
2011-06-30,$109
2011-03-31,$95
2010-12-31,$133
2010-09-30,$280
2010-06-30,$135
2010-03-31,$37
2009-12-31,$278
2009-09-30,$215
2009-06-30,$162
2009-03-31,$49
