DaVita Quarterly Net Income (Millions of US $),DaVita Quarterly Net Income (Millions of US $).1
2024-03-31,$240
2023-12-31,$151
2023-09-30,$247
2023-06-30,$179
2023-03-31,$116
2022-12-31,$68
2022-09-30,$105
2022-06-30,$225
2022-03-31,$162
2021-12-31,$187
2021-09-30,$260
2021-06-30,$294
2021-03-31,$237
2020-12-31,$174
2020-09-30,$159
2020-06-30,$202
2020-03-31,$240
2019-12-31,$245
2019-09-30,$143
2019-06-30,$274
2019-03-31,$149
2018-12-31,$-150
2018-09-30,$-137
2018-06-30,$267
2018-03-31,$179
2017-12-31,$303
2017-09-30,$-214
2017-06-30,$127
2017-03-31,$448
2016-12-31,$158
2016-09-30,$571
2016-06-30,$53
2016-03-31,$97
2015-12-31,$-6
2015-09-30,$216
2015-06-30,$170
2015-03-31,$-111
2014-12-31,$208
2014-09-30,$184
2014-06-30,$148
2014-03-31,$183
2013-12-31,$212
2013-09-30,$137
2013-06-30,$254
2013-03-31,$30
2012-12-31,$156
2012-09-30,$145
2012-06-30,$95
2012-03-31,$140
2011-12-31,$148
2011-09-30,$135
2011-06-30,$100
2011-03-31,$95
2010-12-31,$69
2010-09-30,$119
2010-06-30,$108
2010-03-31,$109
2009-12-31,$110
2009-09-30,$111
2009-06-30,$106
2009-03-31,$96
