General Mills Quarterly Net Income (Millions of US $),General Mills Quarterly Net Income (Millions of US $).1
2024-02-29,$670
2023-11-30,$596
2023-08-31,$674
2023-05-31,$615
2023-02-28,$553
2022-11-30,$606
2022-08-31,$820
2022-05-31,$823
2022-02-28,$660
2021-11-30,$597
2021-08-31,$627
2021-05-31,$417
2021-02-28,$596
2020-11-30,$688
2020-08-31,$639
2020-05-31,$626
2020-02-29,$454
2019-11-30,$581
2019-08-31,$521
2019-05-31,$570
2019-02-28,$447
2018-11-30,$343
2018-08-31,$392
2018-05-31,$354
2018-02-28,$941
2017-11-30,$431
2017-08-31,$405
2017-05-31,$409
2017-02-28,$358
2016-11-30,$482
2016-08-31,$409
2016-05-31,$380
2016-02-29,$362
2015-11-30,$530
2015-08-31,$427
2015-05-31,$187
2015-02-28,$343
2014-11-30,$346
2014-08-31,$345
2014-05-31,$405
2014-02-28,$411
2013-11-30,$550
2013-08-31,$459
2013-05-31,$366
2013-02-28,$398
2012-11-30,$542
2012-08-31,$549
2012-05-31,$325
2012-02-29,$392
2011-11-30,$445
2011-08-31,$406
2011-05-31,$320
2011-02-28,$392
2010-11-30,$614
2010-08-31,$472
2010-05-31,$212
2010-02-28,$333
2009-11-30,$566
2009-08-31,$421
2009-05-31,$359
2009-02-28,$289
