Etsy Quarterly Net Income (Millions of US $),Etsy Quarterly Net Income (Millions of US $).1
2024-03-31,$63
2023-12-31,$83
2023-09-30,$88
2023-06-30,$62
2023-03-31,$75
2022-12-31,$110
2022-09-30,$-963
2022-06-30,$73
2022-03-31,$86
2021-12-31,$162
2021-09-30,$90
2021-06-30,$98
2021-03-31,$144
2020-12-31,$149
2020-09-30,$92
2020-06-30,$96
2020-03-31,$13
2019-12-31,$31
2019-09-30,$15
2019-06-30,$18
2019-03-31,$32
2018-12-31,$41
2018-09-30,$20
2018-06-30,$3
2018-03-31,$13
2017-12-31,$45
2017-09-30,$26
2017-06-30,$12
2017-03-31,$-0
2016-12-31,$-21
2016-09-30,$-2
2016-06-30,$-7
2016-03-31,$1
2015-12-31,$-4
2015-09-30,$-7
2015-06-30,$-6
2015-03-31,$-37
2014-12-31,$-6
2014-09-30,$-6
2014-06-30,$-3
2014-03-31,$-0
2013-12-31,
2012-12-31,
