Nordson Quarterly Net Income (Millions of US $),Nordson Quarterly Net Income (Millions of US $).1
2024-04-30,$118
2024-01-31,$110
2023-10-31,$128
2023-07-31,$128
2023-04-30,$128
2023-01-31,$104
2022-10-31,$141
2022-07-31,$142
2022-04-30,$110
2022-01-31,$120
2021-10-31,$110
2021-07-31,$142
2021-04-30,$124
2021-01-31,$78
2020-10-31,$18
2020-07-31,$87
2020-04-30,$92
2020-01-31,$52
2019-10-31,$103
2019-07-31,$94
2019-04-30,$92
2019-01-31,$49
2018-10-31,$87
2018-07-31,$95
2018-04-30,$91
2018-01-31,$105
2017-10-31,$80
2017-07-31,$101
2017-04-30,$65
2017-01-31,$50
2016-10-31,$76
2016-07-31,$84
2016-04-30,$71
2016-01-31,$41
2015-10-31,$50
2015-07-31,$69
2015-04-30,$49
2015-01-31,$43
2014-10-31,$72
2014-07-31,$78
2014-04-30,$62
2014-01-31,$35
2013-10-31,$60
2013-07-31,$65
2013-04-30,$55
2013-01-31,$42
2012-10-31,$68
2012-07-31,$67
2012-04-30,$52
2012-01-31,$38
2011-10-31,$55
2011-07-31,$57
2011-04-30,$65
2011-01-31,$46
2010-10-31,$54
2010-07-31,$55
2010-04-30,$32
2010-01-31,$27
2009-10-31,$-209
2009-07-31,$24
2009-04-30,$14
2009-01-31,$11
