PPG Industries Quarterly Net Income (Millions of US $),PPG Industries Quarterly Net Income (Millions of US $).1
2024-03-31,$400
2023-12-31,$90
2023-09-30,$426
2023-06-30,$490
2023-03-31,$264
2022-12-31,$238
2022-09-30,$329
2022-06-30,$441
2022-03-31,$18
2021-12-31,$286
2021-09-30,$344
2021-06-30,$431
2021-03-31,$378
2020-12-31,$272
2020-09-30,$442
2020-06-30,$102
2020-03-31,$243
2019-12-31,$292
2019-09-30,$367
2019-06-30,$272
2019-03-31,$312
2018-12-31,$258
2018-09-30,$378
2018-06-30,$371
2018-03-31,$334
2017-12-31,$151
2017-09-30,$610
2017-06-30,$496
2017-03-31,$337
2016-12-31,$340
2016-09-30,$-184
2016-06-30,$370
2016-03-31,$347
2015-12-31,$314
2015-09-30,$433
2015-06-30,$337
2015-03-31,$322
2014-12-31,$83
2014-09-30,$371
2014-06-30,$386
2014-03-31,"$1,262"
2013-12-31,$254
2013-09-30,$226
2013-06-30,$341
2013-03-31,"$2,410"
2012-12-31,$227
2012-09-30,$339
2012-06-30,$362
2012-03-31,$13
2011-12-31,$216
2011-09-30,$311
2011-06-30,$340
2011-03-31,$228
2010-12-31,$205
2010-09-30,$262
2010-06-30,$272
2010-03-31,$30
2009-12-31,$142
2009-09-30,$159
2009-06-30,$146
2009-03-31,$-111
