Brown & Brown Quarterly Net Income (Millions of US $),Brown & Brown Quarterly Net Income (Millions of US $).1
2024-03-31,$293
2023-12-31,$260
2023-09-30,$173
2023-06-30,$188
2023-03-31,$236
2022-12-31,$143
2022-09-30,$158
2022-06-30,$143
2022-03-31,$216
2021-12-31,$100
2021-09-30,$143
2021-06-30,$136
2021-03-31,$195
2020-12-31,$95
2020-09-30,$130
2020-06-30,$93
2020-03-31,$147
2019-12-31,$74
2019-09-30,$112
2019-06-30,$90
2019-03-31,$111
2018-12-31,$71
2018-09-30,$103
2018-06-30,$72
2018-03-31,$89
2017-12-31,$183
2017-09-30,$74
2017-06-30,$64
2017-03-31,$68
2016-12-31,$56
2016-09-30,$70
2016-06-30,$64
2016-03-31,$61
2015-12-31,$57
2015-09-30,$66
2015-06-30,$60
2015-03-31,$56
2014-12-31,$24
2014-09-30,$67
2014-06-30,$60
2014-03-31,$51
2013-12-31,$46
2013-09-30,$56
2013-06-30,$51
2013-03-31,$59
2012-12-31,$41
2012-09-30,$48
2012-06-30,$41
2012-03-31,$48
2011-12-31,$35
2011-09-30,$43
2011-06-30,$36
2011-03-31,$45
2010-12-31,$31
2010-09-30,$43
2010-06-30,$40
2010-03-31,$43
2009-12-31,$23
2009-09-30,$40
2009-06-30,$39
2009-03-31,$46
