Keurig Dr Pepper Quarterly Net Income (Millions of US $),Keurig Dr Pepper Quarterly Net Income (Millions of US $).1
2024-03-31,$454
2023-12-31,$693
2023-09-30,$518
2023-06-30,$503
2023-03-31,$467
2022-12-31,$453
2022-09-30,$180
2022-06-30,$218
2022-03-31,$585
2021-12-31,$843
2021-09-30,$530
2021-06-30,$448
2021-03-31,$325
2020-12-31,$428
2020-09-30,$443
2020-06-30,$298
2020-03-31,$156
2019-12-31,$406
2019-09-30,$304
2019-06-30,$314
2019-03-31,$230
2018-12-31,$266
2018-09-30,$149
2018-06-30,$83
2018-03-31,$88
2017-12-31,$595
2017-09-30,$116
2017-06-30,$188
2017-03-31,$177
2016-12-31,$165
2016-09-30,$240
2016-06-30,$260
2016-03-31,$182
2015-12-31,$185
2015-09-30,$202
2015-06-30,$220
2015-03-31,$157
2014-12-31,$150
2014-09-30,$188
2014-06-30,$210
2014-03-31,$155
2013-12-31,$156
2013-09-30,$207
2013-06-30,$155
2013-03-31,$106
2012-12-31,$170
2012-09-30,$179
2012-06-30,$178
2012-03-31,$102
2011-12-31,$166
2011-09-30,$154
2011-06-30,$172
2011-03-31,$114
2010-12-31,$112
2010-09-30,$144
2010-06-30,$183
2010-03-31,$89
2009-12-31,$114
2009-09-30,$151
2009-06-30,$158
2009-03-31,$132
