News Quarterly Net Income (Millions of US $),News Quarterly Net Income (Millions of US $).1
2024-03-31,$30
2023-12-31,$156
2023-09-30,$30
2023-06-30,$-8
2023-03-31,$50
2022-12-31,$67
2022-09-30,$40
2022-06-30,$110
2022-03-31,$82
2021-12-31,$235
2021-09-30,$196
2021-06-30,$-14
2021-03-31,$79
2020-12-31,$231
2020-09-30,$34
2020-06-30,$-397
2020-03-31,$-730
2019-12-31,$85
2019-09-30,$-227
2019-06-30,$-51
2019-03-31,$10
2018-12-31,$95
2018-09-30,$101
2018-06-30,$-372
2018-03-31,"$-1,128"
2017-12-31,$-84
2017-09-30,$68
2017-06-30,$-430
2017-03-31,$-5
2016-12-31,$-290
2016-09-30,$-15
2016-06-30,$89
2016-03-31,$-149
2015-12-31,$62
2015-09-30,$175
2015-06-30,$-380
2015-03-31,$23
2014-12-31,$143
2014-09-30,$65
2014-06-30,$12
2014-03-31,$48
2013-12-31,$150
2013-09-30,$27
2013-06-30,"$-1,124"
2013-03-31,$323
2012-12-31,"$1,399"
2012-09-30,$-92
2012-06-30,
2011-06-30,
