Public Service Enterprise Group Quarterly Net Income (Millions of US $),Public Service Enterprise Group Quarterly Net Income (Millions of US $).1
2024-03-31,$532
2023-12-31,$546
2023-09-30,$139
2023-06-30,$591
2023-03-31,"$1,287"
2022-12-31,$788
2022-09-30,$114
2022-06-30,$131
2022-03-31,$-2
2021-12-31,$445
2021-09-30,"$-1,564"
2021-06-30,$-177
2021-03-31,$648
2020-12-31,$431
2020-09-30,$575
2020-06-30,$451
2020-03-31,$448
2019-12-31,$437
2019-09-30,$403
2019-06-30,$153
2019-03-31,$700
2018-12-31,$199
2018-09-30,$412
2018-06-30,$269
2018-03-31,$558
2017-12-31,$956
2017-09-30,$395
2017-06-30,$109
2017-03-31,$114
2016-12-31,$-98
2016-09-30,$327
2016-06-30,$187
2016-03-31,$471
2015-12-31,$309
2015-09-30,$439
2015-06-30,$345
2015-03-31,$586
2014-12-31,$476
2014-09-30,$444
2014-06-30,$212
2014-03-31,$386
2013-12-31,$200
2013-09-30,$390
2013-06-30,$333
2013-03-31,$320
2012-12-31,$224
2012-09-30,$347
2012-06-30,$211
2012-03-31,$493
2011-12-31,$360
2011-09-30,$294
2011-06-30,$323
2011-03-31,$526
2010-12-31,$282
2010-09-30,$567
2010-06-30,$224
2010-03-31,$491
2009-12-31,$349
2009-09-30,$488
2009-06-30,$311
2009-03-31,$444
