T Rowe Price Quarterly Net Income (Millions of US $),T Rowe Price Quarterly Net Income (Millions of US $).1
2024-03-31,$558
2023-12-31,$426
2023-09-30,$443
2023-06-30,$465
2023-03-31,$411
2022-12-31,$260
2022-09-30,$375
2022-06-30,$332
2022-03-31,$555
2021-12-31,$722
2021-09-30,$758
2021-06-30,$794
2021-03-31,$730
2020-12-31,$762
2020-09-30,$625
2020-06-30,$586
2020-03-31,$334
2019-12-31,$531
2019-09-30,$532
2019-06-30,$514
2019-03-31,$500
2018-12-31,$387
2018-09-30,$569
2018-06-30,$438
2018-03-31,$443
2017-12-31,$339
2017-09-30,$382
2017-06-30,$365
2017-03-31,$377
2016-12-31,$371
2016-09-30,$321
2016-06-30,$199
2016-03-31,$298
2015-12-31,$304
2015-09-30,$273
2015-06-30,$329
2015-03-31,$301
2014-12-31,$312
2014-09-30,$300
2014-06-30,$302
2014-03-31,$301
2013-12-31,$285
2013-09-30,$268
2013-06-30,$246
2013-03-31,$240
2012-12-31,$230
2012-09-30,$246
2012-06-30,$206
2012-03-31,$197
2011-12-31,$188
2011-09-30,$185
2011-06-30,$204
2011-03-31,$194
2010-12-31,$191
2010-09-30,$168
2010-06-30,$158
2010-03-31,$152
2009-12-31,$152
2009-09-30,$132
2009-06-30,$100
2009-03-31,$48
