Cboe Global Markets Quarterly Net Income (Millions of US $),Cboe Global Markets Quarterly Net Income (Millions of US $).1
2024-03-31,$208
2023-12-31,$211
2023-09-30,$207
2023-06-30,$167
2023-03-31,$173
2022-12-31,$160
2022-09-30,$150
2022-06-30,$-185
2022-03-31,$109
2021-12-31,$165
2021-09-30,$120
2021-06-30,$105
2021-03-31,$137
2020-12-31,$87
2020-09-30,$110
2020-06-30,$113
2020-03-31,$157
2019-12-31,$85
2019-09-30,$106
2019-06-30,$88
2019-03-31,$95
2018-12-31,$137
2018-09-30,$85
2018-06-30,$82
2018-03-31,$117
2017-12-31,$255
2017-09-30,$60
2017-06-30,$67
2017-03-31,$15
2016-12-31,$45
2016-09-30,$40
2016-06-30,$51
2016-03-31,$49
2015-12-31,$50
2015-09-30,$67
2015-06-30,$45
2015-03-31,$42
2014-12-31,$49
2014-09-30,$48
2014-06-30,$43
2014-03-31,$49
2013-12-31,$46
2013-09-30,$41
2013-06-30,$45
2013-03-31,$42
2012-12-31,$39
2012-09-30,$45
2012-06-30,$38
2012-03-31,$33
2011-12-31,$31
2011-09-30,$41
2011-06-30,$33
2011-03-31,$32
2010-12-31,$31
2010-09-30,$20
2010-06-30,$25
2010-03-31,$23
2009-12-31,$35
2009-09-30,$19
2009-06-30,$28
2009-03-31,$24
