Verisk Analytics Quarterly Net Income (Millions of US $),Verisk Analytics Quarterly Net Income (Millions of US $).1
2024-03-31,$220
2023-12-31,$174
2023-09-30,$187
2023-06-30,$197
2023-03-31,$56
2022-12-31,$61
2022-09-30,$189
2022-06-30,$198
2022-03-31,$506
2021-12-31,$142
2021-09-30,$202
2021-06-30,$154
2021-03-31,$169
2020-12-31,$176
2020-09-30,$186
2020-06-30,$179
2020-03-31,$172
2019-12-31,$132
2019-09-30,$33
2019-06-30,$150
2019-03-31,$134
2018-12-31,$146
2018-09-30,$166
2018-06-30,$154
2018-03-31,$133
2017-12-31,$205
2017-09-30,$121
2017-06-30,$121
2017-03-31,$109
2016-12-31,$109
2016-09-30,$128
2016-06-30,$262
2016-03-31,$93
2015-12-31,$114
2015-09-30,$132
2015-06-30,$163
2015-03-31,$99
2014-12-31,$97
2014-09-30,$99
2014-06-30,$88
2014-03-31,$116
2013-12-31,$87
2013-09-30,$96
2013-06-30,$84
2013-03-31,$81
2012-12-31,$98
2012-09-30,$83
2012-06-30,$73
2012-03-31,$75
2011-12-31,$80
2011-09-30,$71
2011-06-30,$66
2011-03-31,$66
2010-12-31,$66
2010-09-30,$63
2010-06-30,$58
2010-03-31,$55
2009-12-31,$-6
2009-09-30,$42
2009-06-30,$46
2009-03-31,$45
