Waste Management Quarterly Net Income (Millions of US $),Waste Management Quarterly Net Income (Millions of US $).1
2024-03-31,$708
2023-12-31,$493
2023-09-30,$663
2023-06-30,$615
2023-03-31,$533
2022-12-31,$499
2022-09-30,$639
2022-06-30,$587
2022-03-31,$513
2021-12-31,$506
2021-09-30,$538
2021-06-30,$351
2021-03-31,$421
2020-12-31,$438
2020-09-30,$390
2020-06-30,$307
2020-03-31,$361
2019-12-31,$447
2019-09-30,$495
2019-06-30,$381
2019-03-31,$347
2018-12-31,$531
2018-09-30,$499
2018-06-30,$499
2018-03-31,$396
2017-12-31,$903
2017-09-30,$386
2017-06-30,$362
2017-03-31,$298
2016-12-31,$335
2016-09-30,$302
2016-06-30,$287
2016-03-31,$258
2015-12-31,$273
2015-09-30,$335
2015-06-30,$274
2015-03-31,$-129
2014-12-31,$590
2014-09-30,$270
2014-06-30,$210
2014-03-31,$228
2013-12-31,$-605
2013-09-30,$291
2013-06-30,$244
2013-03-31,$168
2012-12-31,$224
2012-09-30,$214
2012-06-30,$208
2012-03-31,$171
2011-12-31,$266
2011-09-30,$272
2011-06-30,$237
2011-03-31,$186
2010-12-31,$281
2010-09-30,$244
2010-06-30,$246
2010-03-31,$182
2009-12-31,$315
2009-09-30,$277
2009-06-30,$247
2009-03-31,$155
