Ventas Quarterly Net Income (Millions of US $),Ventas Quarterly Net Income (Millions of US $).1
2024-03-31,$-14
2023-12-31,$-91
2023-09-30,$-71
2023-06-30,$103
2023-03-31,$18
2022-12-31,$-45
2022-09-30,$1
2022-06-30,$-42
2022-03-31,$39
2021-12-31,$-41
2021-09-30,$61
2021-06-30,$86
2021-03-31,$-57
2020-12-31,$110
2020-09-30,$13
2020-06-30,$-157
2020-03-31,$473
2019-12-31,$11
2019-09-30,$85
2019-06-30,$211
2019-03-31,$126
2018-12-31,$62
2018-09-30,$102
2018-06-30,$167
2018-03-31,$79
2017-12-31,$393
2017-09-30,$614
2017-06-30,$152
2017-03-31,$198
2016-12-31,$208
2016-09-30,$149
2016-06-30,$143
2016-03-31,$149
2015-12-31,$125
2015-09-30,$23
2015-06-30,$150
2015-03-31,$120
2014-12-31,$107
2014-09-30,$109
2014-06-30,$138
2014-03-31,$121
2013-12-31,$108
2013-09-30,$118
2013-06-30,$115
2013-03-31,$112
2012-12-31,$86
2012-09-30,$112
2012-06-30,$74
2012-03-31,$91
2011-12-31,$193
2011-09-30,$103
2011-06-30,$20
2011-03-31,$49
2010-12-31,$78
2010-09-30,$58
2010-06-30,$58
2010-03-31,$53
2009-12-31,$54
2009-09-30,$50
2009-06-30,$88
2009-03-31,$74
