Berkshire Hathaway Quarterly Net Income (Millions of US $),Berkshire Hathaway Quarterly Net Income (Millions of US $).1
2024-03-31,"$12,702"
2023-12-31,"$37,574"
2023-09-30,"$-12,767"
2023-06-30,"$35,912"
2023-03-31,"$35,504"
2022-12-31,"$18,080"
2022-09-30,"$-2,798"
2022-06-30,"$-43,621"
2022-03-31,"$5,580"
2021-12-31,"$39,788"
2021-09-30,"$10,344"
2021-06-30,"$28,094"
2021-03-31,"$11,711"
2020-12-31,"$35,835"
2020-09-30,"$30,137"
2020-06-30,"$26,295"
2020-03-31,"$-49,746"
2019-12-31,"$29,159"
2019-09-30,"$16,524"
2019-06-30,"$14,073"
2019-03-31,"$21,661"
2018-12-31,"$-25,392"
2018-09-30,"$18,540"
2018-06-30,"$12,011"
2018-03-31,"$-1,138"
2017-12-31,"$32,551"
2017-09-30,"$4,067"
2017-06-30,"$4,262"
2017-03-31,"$4,060"
2016-12-31,"$6,286"
2016-09-30,"$7,198"
2016-06-30,"$5,001"
2016-03-31,"$5,589"
2015-12-31,"$5,478"
2015-09-30,"$9,428"
2015-06-30,"$4,013"
2015-03-31,"$5,164"
2014-12-31,"$4,155"
2014-09-30,"$4,617"
2014-06-30,"$6,395"
2014-03-31,"$4,705"
2013-12-31,"$4,990"
2013-09-30,"$5,053"
2013-06-30,"$4,541"
2013-03-31,"$4,892"
2012-12-31,"$4,551"
2012-09-30,"$3,920"
2012-06-30,"$3,108"
2012-03-31,"$3,245"
2011-12-31,"$3,048"
2011-09-30,"$2,278"
2011-06-30,"$3,417"
2011-03-31,"$1,511"
2010-12-31,"$4,377"
2010-09-30,"$2,989"
2010-06-30,"$1,968"
2010-03-31,"$3,633"
2009-12-31,"$3,056"
2009-09-30,"$3,238"
2009-06-30,"$3,295"
2009-03-31,"$-1,534"
