Ford Motor Quarterly Net Income (Millions of US $),Ford Motor Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,332"
2023-12-31,$-526
2023-09-30,"$1,199"
2023-06-30,"$1,917"
2023-03-31,"$1,757"
2022-12-31,"$1,289"
2022-09-30,$-827
2022-06-30,$667
2022-03-31,"$-3,110"
2021-12-31,"$12,282"
2021-09-30,"$1,832"
2021-06-30,$561
2021-03-31,"$3,262"
2020-12-31,"$-2,788"
2020-09-30,"$2,385"
2020-06-30,"$1,117"
2020-03-31,"$-1,993"
2019-12-31,"$-1,672"
2019-09-30,$425
2019-06-30,$148
2019-03-31,"$1,146"
2018-12-31,$-116
2018-09-30,$991
2018-06-30,"$1,066"
2018-03-31,"$1,736"
2017-12-31,"$2,520"
2017-09-30,"$1,572"
2017-06-30,"$2,047"
2017-03-31,"$1,592"
2016-12-31,$-790
2016-09-30,$957
2016-06-30,"$1,970"
2016-03-31,"$2,452"
2015-12-31,"$1,868"
2015-09-30,"$2,192"
2015-06-30,"$2,160"
2015-03-31,"$1,153"
2014-12-31,"$-1,904"
2014-09-30,$835
2014-06-30,"$1,311"
2014-03-31,$989
2013-12-31,"$7,837"
2013-09-30,"$1,272"
2013-06-30,"$1,233"
2013-03-31,"$1,611"
2012-12-31,"$1,546"
2012-09-30,"$1,631"
2012-06-30,"$1,040"
2012-03-31,"$1,396"
2011-12-31,"$13,615"
2011-09-30,"$1,649"
2011-06-30,"$2,398"
2011-03-31,"$2,551"
2010-12-31,$190
2010-09-30,"$1,687"
2010-06-30,"$2,599"
2010-03-31,"$2,085"
2009-12-31,$886
2009-09-30,$997
2009-06-30,"$2,261"
2009-03-31,"$-1,427"
