Citigroup Quarterly Net Income (Millions of US $),Citigroup Quarterly Net Income (Millions of US $).1
2024-03-31,"$3,371"
2023-12-31,"$-2,896"
2023-09-30,"$3,546"
2023-06-30,"$2,594"
2023-03-31,"$4,606"
2022-12-31,"$1,945"
2022-09-30,"$3,479"
2022-06-30,"$4,274"
2022-03-31,"$4,002"
2021-12-31,"$2,565"
2021-09-30,"$4,352"
2021-06-30,"$5,899"
2021-03-31,"$7,942"
2020-12-31,"$3,394"
2020-09-30,"$3,146"
2020-06-30,$803
2020-03-31,"$2,536"
2019-12-31,"$4,416"
2019-09-30,"$4,913"
2019-06-30,"$4,453"
2019-03-31,"$4,389"
2018-12-31,"$3,306"
2018-09-30,"$4,622"
2018-06-30,"$4,123"
2018-03-31,"$4,620"
2017-12-31,"$-19,450"
2017-09-30,"$3,808"
2017-06-30,"$3,504"
2017-03-31,"$4,090"
2016-12-31,"$3,204"
2016-09-30,"$3,562"
2016-06-30,"$3,623"
2016-03-31,"$3,251"
2015-12-31,"$2,966"
2015-09-30,"$4,061"
2015-06-30,"$4,580"
2015-03-31,"$4,642"
2014-12-31,$74
2014-09-30,"$2,713"
2014-06-30,$81
2014-03-31,"$3,820"
2013-12-31,"$2,371"
2013-09-30,"$3,117"
2013-06-30,"$4,173"
2013-03-31,"$3,804"
2012-12-31,"$1,187"
2012-09-30,$464
2012-06-30,"$2,937"
2012-03-31,"$2,927"
2011-12-31,$947
2011-09-30,"$3,767"
2011-06-30,"$3,332"
2011-03-31,"$2,995"
2010-12-31,"$1,300"
2010-09-30,"$2,168"
2010-06-30,"$2,697"
2010-03-31,"$4,428"
2009-12-31,"$-1,677"
2009-09-30,"$-3,242"
2009-06-30,"$4,279"
2009-03-31,$-966
