Allegion Quarterly Net Income (Millions of US $),Allegion Quarterly Net Income (Millions of US $).1
2024-03-31,$124
2023-12-31,$119
2023-09-30,$156
2023-06-30,$142
2023-03-31,$124
2022-12-31,$135
2022-09-30,$115
2022-06-30,$115
2022-03-31,$93
2021-12-31,$113
2021-09-30,$144
2021-06-30,$119
2021-03-31,$108
2020-12-31,$93
2020-09-30,$147
2020-06-30,$74
2020-03-31,$0
2019-12-31,$81
2019-09-30,$132
2019-06-30,$109
2019-03-31,$80
2018-12-31,$133
2018-09-30,$116
2018-06-30,$114
2018-03-31,$72
2017-12-31,$10
2017-09-30,$90
2017-06-30,$106
2017-03-31,$68
2016-12-31,$75
2016-09-30,$2
2016-06-30,$95
2016-03-31,$58
2015-12-31,$72
2015-09-30,$-27
2015-06-30,$64
2015-03-31,$45
2014-12-31,$35
2014-09-30,$61
2014-06-30,$43
2014-03-31,$36
2013-12-31,$10
2013-09-30,$-78
2013-06-30,$60
2013-03-31,$39
2012-12-31,
2012-09-30,
2011-12-31,
2010-12-31,
