PPL Quarterly Net Income (Millions of US $),PPL Quarterly Net Income (Millions of US $).1
2024-03-31,$307
2023-12-31,$113
2023-09-30,$230
2023-06-30,$112
2023-03-31,$284
2022-12-31,$189
2022-09-30,$174
2022-06-30,$119
2022-03-31,$273
2021-12-31,$134
2021-09-30,$207
2021-06-30,$19
2021-03-31,"$-1,840"
2020-12-31,$290
2020-09-30,$281
2020-06-30,$344
2020-03-31,$554
2019-12-31,$364
2019-09-30,$475
2019-06-30,$441
2019-03-31,$466
2018-12-31,$415
2018-09-30,$445
2018-06-30,$515
2018-03-31,$452
2017-12-31,$78
2017-09-30,$355
2017-06-30,$292
2017-03-31,$403
2016-12-31,$465
2016-09-30,$473
2016-06-30,$483
2016-03-31,$481
2015-12-31,$399
2015-09-30,$393
2015-06-30,$-757
2015-03-31,$647
2014-12-31,$686
2014-09-30,$497
2014-06-30,$229
2014-03-31,$316
2013-12-31,$-104
2013-09-30,$410
2013-06-30,$405
2013-03-31,$413
2012-12-31,$348
2012-09-30,$355
2012-06-30,$271
2012-03-31,$538
2011-12-31,$454
2011-09-30,$444
2011-06-30,$196
2011-03-31,$401
2010-12-31,$351
2010-09-30,$248
2010-06-30,$85
2010-03-31,$250
2009-12-31,$153
2009-09-30,$20
2009-06-30,$-7
2009-03-31,$241
