Jabil Quarterly Net Income (Millions of US $),Jabil Quarterly Net Income (Millions of US $).1
2024-05-31,$129
2024-02-29,$927
2023-11-30,$194
2023-08-31,$155
2023-05-31,$233
2023-02-28,$207
2022-11-30,$223
2022-08-31,$315
2022-05-31,$218
2022-02-28,$222
2021-11-30,$241
2021-08-31,$175
2021-05-31,$169
2021-02-28,$152
2020-11-30,$200
2020-08-31,$68
2020-05-31,$-51
2020-02-29,$-3
2019-11-30,$40
2019-08-31,$53
2019-05-31,$43
2019-02-28,$67
2018-11-30,$124
2018-08-31,$-57
2018-05-31,$43
2018-02-28,$37
2017-11-30,$64
2017-08-31,$46
2017-05-31,$-25
2017-02-28,$21
2016-11-30,$88
2016-08-31,$38
2016-05-31,$5
2016-02-29,$79
2015-11-30,$132
2015-08-31,$88
2015-05-31,$72
2015-02-28,$52
2014-11-30,$72
2014-08-31,$-26
2014-05-31,$188
2014-02-28,$-39
2013-11-30,$118
2013-08-31,$127
2013-05-31,$50
2013-02-28,$89
2012-11-30,$106
2012-08-31,$83
2012-05-31,$101
2012-02-29,$98
2011-11-30,$113
2011-08-31,$114
2011-05-31,$105
2011-02-28,$55
2010-11-30,$107
2010-08-31,$59
2010-05-31,$52
2010-02-28,$30
2009-11-30,$28
2009-08-31,$6
2009-05-31,$-29
2009-02-28,$-866
