Aflac Quarterly Net Income (Millions of US $),Aflac Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,879"
2023-12-31,$268
2023-09-30,"$1,569"
2023-06-30,"$1,634"
2023-03-31,"$1,188"
2022-12-31,$196
2022-09-30,"$1,781"
2022-06-30,"$1,394"
2022-03-31,"$1,047"
2021-12-31,$945
2021-09-30,$888
2021-06-30,"$1,105"
2021-03-31,"$1,293"
2020-12-31,$951
2020-09-30,"$2,456"
2020-06-30,$805
2020-03-31,$566
2019-12-31,$782
2019-09-30,$777
2019-06-30,$817
2019-03-31,$928
2018-12-31,$526
2018-09-30,$845
2018-06-30,$832
2018-03-31,$717
2017-12-31,"$2,583"
2017-09-30,$716
2017-06-30,$713
2017-03-31,$592
2016-12-31,$751
2016-09-30,$629
2016-06-30,$548
2016-03-31,$731
2015-12-31,$730
2015-09-30,$567
2015-06-30,$573
2015-03-31,$663
2014-12-31,$703
2014-09-30,$706
2014-06-30,$810
2014-03-31,$732
2013-12-31,$675
2013-09-30,$702
2013-06-30,$889
2013-03-31,$892
2012-12-31,$581
2012-09-30,"$1,017"
2012-06-30,$483
2012-03-31,$785
2011-12-31,$538
2011-09-30,$736
2011-06-30,$274
2011-03-31,$389
2010-12-31,$421
2010-09-30,$690
2010-06-30,$581
2010-03-31,$636
2009-12-31,$251
2009-09-30,$363
2009-06-30,$314
2009-03-31,$569
