PTC Quarterly Net Income (Millions of US $),PTC Quarterly Net Income (Millions of US $).1
2024-03-31,$114
2023-12-31,$66
2023-09-30,$46
2023-06-30,$61
2023-03-31,$64
2022-12-31,$75
2022-09-30,$107
2022-06-30,$70
2022-03-31,$90
2021-12-31,$46
2021-09-30,$293
2021-06-30,$51
2021-03-31,$109
2020-12-31,$24
2020-09-30,$53
2020-06-30,$35
2020-03-31,$7
2019-12-31,$35
2019-09-30,$10
2019-06-30,$-15
2019-03-31,$-44
2018-12-31,$21
2018-09-30,$13
2018-06-30,$17
2018-03-31,$8
2017-12-31,$14
2017-09-30,$17
2017-06-30,$-1
2017-03-31,$-1
2016-12-31,$-9
2016-09-30,$-28
2016-06-30,$3
2016-03-31,$-5
2015-12-31,$-24
2015-09-30,$-6
2015-06-30,$17
2015-03-31,$5
2014-12-31,$30
2014-09-30,$39
2014-06-30,$38
2014-03-31,$44
2013-12-31,$40
2013-09-30,$56
2013-06-30,$34
2013-03-31,$17
2012-12-31,$36
2012-09-30,$-84
2012-06-30,$23
2012-03-31,$4
2011-12-31,$22
2011-09-30,$38
2011-06-30,$16
2011-03-31,$19
2010-12-31,$13
2010-09-30,$-13
2010-06-30,$11
2010-03-31,$9
2009-12-31,$18
2009-09-30,$16
2009-06-30,$4
2009-03-31,$7
