Eaton Quarterly Net Income (Millions of US $),Eaton Quarterly Net Income (Millions of US $).1
2024-03-31,$821
2023-12-31,$945
2023-09-30,$891
2023-06-30,$744
2023-03-31,$638
2022-12-31,$722
2022-09-30,$607
2022-06-30,$601
2022-03-31,$532
2021-12-31,$551
2021-09-30,$629
2021-06-30,$506
2021-03-31,$458
2020-12-31,$475
2020-09-30,$446
2020-06-30,$51
2020-03-31,$438
2019-12-31,$452
2019-09-30,$601
2019-06-30,$636
2019-03-31,$522
2018-12-31,$631
2018-09-30,$416
2018-06-30,$610
2018-03-31,$488
2017-12-31,$634
2017-09-30,"$1,401"
2017-06-30,$516
2017-03-31,$434
2016-12-31,$498
2016-09-30,$523
2016-06-30,$491
2016-03-31,$404
2015-12-31,$525
2015-09-30,$446
2015-06-30,$535
2015-03-31,$466
2014-12-31,$581
2014-09-30,$602
2014-06-30,$171
2014-03-31,$439
2013-12-31,$479
2013-09-30,$510
2013-06-30,$494
2013-03-31,$378
2012-12-31,$179
2012-09-30,$345
2012-06-30,$382
2012-03-31,$311
2011-12-31,$362
2011-09-30,$365
2011-06-30,$336
2011-03-31,$287
2010-12-31,$280
2010-09-30,$268
2010-06-30,$226
2010-03-31,$155
2009-12-31,$211
2009-09-30,$193
2009-06-30,$29
2009-03-31,$-50
