W.W Grainger Quarterly Net Income (Millions of US $),W.W Grainger Quarterly Net Income (Millions of US $).1
2024-03-31,$478
2023-12-31,$395
2023-09-30,$476
2023-06-30,$470
2023-03-31,$488
2022-12-31,$384
2022-09-30,$426
2022-06-30,$371
2022-03-31,$366
2021-12-31,$283
2021-09-30,$297
2021-06-30,$225
2021-03-31,$238
2020-12-31,$168
2020-09-30,$240
2020-06-30,$114
2020-03-31,$173
2019-12-31,$103
2019-09-30,$233
2019-06-30,$260
2019-03-31,$253
2018-12-31,$209
2018-09-30,$104
2018-06-30,$237
2018-03-31,$232
2017-12-31,$155
2017-09-30,$161
2017-06-30,$97
2017-03-31,$173
2016-12-31,$59
2016-09-30,$184
2016-06-30,$173
2016-03-31,$185
2015-12-31,$151
2015-09-30,$190
2015-06-30,$218
2015-03-31,$209
2014-12-31,$145
2014-09-30,$228
2014-06-30,$206
2014-03-31,$214
2013-12-31,$152
2013-09-30,$208
2013-06-30,$218
2013-03-31,$208
2012-12-31,$154
2012-09-30,$153
2012-06-30,$187
2012-03-31,$184
2011-12-31,$146
2011-09-30,$179
2011-06-30,$167
2011-03-31,$154
2010-12-31,$129
2010-09-30,$147
2010-06-30,$126
2010-03-31,$97
2009-12-31,$95
2009-09-30,$141
2009-06-30,$90
2009-03-31,$94
