Autodesk Quarterly Net Income (Millions of US $),Autodesk Quarterly Net Income (Millions of US $).1
2024-04-30,$252
2024-01-31,$282
2023-10-31,$241
2023-07-31,$222
2023-04-30,$161
2023-01-31,$293
2022-10-31,$198
2022-07-31,$186
2022-04-30,$146
2022-01-31,$89
2021-10-31,$137
2021-07-31,$115
2021-04-30,$156
2021-01-31,$911
2020-10-31,$132
2020-07-31,$98
2020-04-30,$67
2020-01-31,$132
2019-10-31,$67
2019-07-31,$40
2019-04-30,$-24
2019-01-31,$65
2018-10-31,$-24
2018-07-31,$-39
2018-04-30,$-82
2018-01-31,$-174
2017-10-31,$-120
2017-07-31,$-144
2017-04-30,$-130
2017-01-31,$-173
2016-10-31,$-143
2016-07-31,$-98
2016-04-30,$-168
2016-01-31,$-37
2015-10-31,$-44
2015-07-31,$-269
2015-04-30,$19
2015-01-31,$12
2014-10-31,$11
2014-07-31,$31
2014-04-30,$28
2014-01-31,$54
2013-10-31,$58
2013-07-31,$62
2013-04-30,$56
2013-01-31,$75
2012-10-31,$29
2012-07-31,$65
2012-04-30,$79
2012-01-31,$72
2011-10-31,$73
2011-07-31,$71
2011-04-30,$69
2011-01-31,$62
2010-10-31,$54
2010-07-31,$60
2010-04-30,$37
2010-01-31,$50
2009-10-31,$30
2009-07-31,$11
2009-04-30,$-32
2009-01-31,$-105
