Simon Property Quarterly Net Income (Millions of US $),Simon Property Quarterly Net Income (Millions of US $).1
2024-03-31,$732
2023-12-31,$747
2023-09-30,$594
2023-06-30,$486
2023-03-31,$452
2022-12-31,$674
2022-09-30,$539
2022-06-30,$497
2022-03-31,$427
2021-12-31,$503
2021-09-30,$680
2021-06-30,$617
2021-03-31,$446
2020-12-31,$271
2020-09-30,$146
2020-06-30,$254
2020-03-31,$438
2019-12-31,$510
2019-09-30,$544
2019-06-30,$495
2019-03-31,$548
2018-12-31,$713
2018-09-30,$556
2018-06-30,$547
2018-03-31,$621
2017-12-31,$571
2017-09-30,$514
2017-06-30,$382
2017-03-31,$478
2016-12-31,$394
2016-09-30,$505
2016-06-30,$455
2016-03-31,$481
2015-12-31,$392
2015-09-30,$420
2015-06-30,$473
2015-03-31,$539
2014-12-31,$405
2014-09-30,$252
2014-06-30,$407
2014-03-31,$342
2013-12-31,$382
2013-09-30,$312
2013-06-30,$340
2013-03-31,$283
2012-12-31,$315
2012-09-30,$255
2012-06-30,$215
2012-03-31,$645
2011-12-31,$363
2011-09-30,$274
2011-06-30,$205
2011-03-31,$179
2010-12-31,$218
2010-09-30,$231
2010-06-30,$153
2010-03-31,$9
2009-12-31,$92
2009-09-30,$106
2009-06-30,$-21
2009-03-31,$107
