Builders FirstSource Quarterly Net Income (Millions of US $),Builders FirstSource Quarterly Net Income (Millions of US $).1
2024-03-31,$259
2023-12-31,$351
2023-09-30,$451
2023-06-30,$405
2023-03-31,$334
2022-12-31,$385
2022-09-30,$738
2022-06-30,$987
2022-03-31,$640
2021-12-31,$442
2021-09-30,$613
2021-06-30,$497
2021-03-31,$173
2020-12-31,$140
2020-09-30,$86
2020-06-30,$79
2020-03-31,$9
2019-12-31,$41
2019-09-30,$78
2019-06-30,$67
2019-03-31,$36
2018-12-31,$52
2018-09-30,$73
2018-06-30,$57
2018-03-31,$23
2017-12-31,$-43
2017-09-30,$40
2017-06-30,$38
2017-03-31,$4
2016-12-31,$6
2016-09-30,$125
2016-06-30,$29
2016-03-31,$-17
2015-12-31,$-11
2015-09-30,$-9
2015-06-30,$4
2015-03-31,$-7
2014-12-31,$2
2014-09-30,$9
2014-06-30,$11
2014-03-31,$-3
2013-12-31,$5
2013-09-30,$13
2013-06-30,$-48
2013-03-31,$-12
2012-12-31,$-12
2012-09-30,$-14
2012-06-30,$-12
2012-03-31,$-19
2011-12-31,$-17
2011-09-30,$-12
2011-06-30,$-15
2011-03-31,$-21
2010-12-31,$-25
2010-09-30,$-20
2010-06-30,$-19
2010-03-31,$-31
2009-12-31,$7
2009-09-30,$-15
2009-06-30,$-23
2009-03-31,$-31
