Diamondback Energy Quarterly Net Income (Millions of US $),Diamondback Energy Quarterly Net Income (Millions of US $).1
2024-03-31,$763
2023-12-31,$965
2023-09-30,$915
2023-06-30,$556
2023-03-31,$707
2022-12-31,"$1,013"
2022-09-30,"$1,184"
2022-06-30,"$1,416"
2022-03-31,$773
2021-12-31,"$1,008"
2021-09-30,$643
2021-06-30,$311
2021-03-31,$220
2020-12-31,$-739
2020-09-30,"$-1,113"
2020-06-30,"$-2,393"
2020-03-31,$-272
2019-12-31,$-487
2019-09-30,$368
2019-06-30,$349
2019-03-31,$10
2018-12-31,$307
2018-09-30,$157
2018-06-30,$219
2018-03-31,$163
2017-12-31,$114
2017-09-30,$73
2017-06-30,$158
2017-03-31,$136
2016-12-31,$26
2016-09-30,$-2
2016-06-30,$-155
2016-03-31,$-33
2015-12-31,$-187
2015-09-30,$-157
2015-06-30,$-212
2015-03-31,$6
2014-12-31,$99
2014-09-30,$44
2014-06-30,$28
2014-03-31,$24
2013-12-31,$20
2013-09-30,$15
2013-06-30,$14
2013-03-31,$5
2012-12-31,$-52
2012-09-30,$0
2012-06-30,$14
2012-03-31,$1
2011-12-31,
2011-09-30,$2
2010-12-31,
