Mid-America Apartment Communities Quarterly Net Income (Millions of US $),Mid-America Apartment Communities Quarterly Net Income (Millions of US $).1
2024-03-31,$143
2023-12-31,$160
2023-09-30,$110
2023-06-30,$145
2023-03-31,$135
2022-12-31,$193
2022-09-30,$121
2022-06-30,$210
2022-03-31,$110
2021-12-31,$185
2021-09-30,$84
2021-06-30,$216
2021-03-31,$46
2020-12-31,$82
2020-09-30,$59
2020-06-30,$74
2020-03-31,$36
2019-12-31,$149
2019-09-30,$78
2019-06-30,$61
2019-03-31,$63
2018-12-31,$60
2018-09-30,$52
2018-06-30,$59
2018-03-31,$48
2017-12-31,$123
2017-09-30,$114
2017-06-30,$47
2017-03-31,$41
2016-12-31,$39
2016-09-30,$84
2016-06-30,$45
2016-03-31,$43
2015-12-31,$43
2015-09-30,$92
2015-06-30,$136
2015-03-31,$61
2014-12-31,$35
2014-09-30,$67
2014-06-30,$32
2014-03-31,$15
2013-12-31,$-9
2013-09-30,$44
2013-06-30,$59
2013-03-31,$21
2012-12-31,$22
2012-09-30,$31
2012-06-30,$28
2012-03-31,$24
2011-12-31,$19
2011-09-30,$14
2011-06-30,$7
2011-03-31,$9
2010-12-31,$7
2010-09-30,$4
2010-06-30,$1
2010-03-31,$6
2009-12-31,$6
2009-09-30,$3
2009-06-30,$7
2009-03-31,$8
