Trane Technologies Quarterly Net Income (Millions of US $),Trane Technologies Quarterly Net Income (Millions of US $).1
2024-03-31,$436
2023-12-31,$504
2023-09-30,$626
2023-06-30,$586
2023-03-31,$307
2022-12-31,$439
2022-09-30,$548
2022-06-30,$509
2022-03-31,$260
2021-12-31,$318
2021-09-30,$406
2021-06-30,$465
2021-03-31,$235
2020-12-31,$245
2020-09-30,$401
2020-06-30,$239
2020-03-31,$-29
2019-12-31,$296
2019-09-30,$459
2019-06-30,$456
2019-03-31,$200
2018-12-31,$254
2018-09-30,$515
2018-06-30,$448
2018-03-31,$120
2017-12-31,$460
2017-09-30,$367
2017-06-30,$359
2017-03-31,$117
2016-12-31,$199
2016-09-30,$377
2016-06-30,$748
2016-03-31,$152
2015-12-31,$234
2015-09-30,$301
2015-06-30,$79
2015-03-31,$51
2014-12-31,$255
2014-09-30,$291
2014-06-30,$306
2014-03-31,$79
2013-12-31,$48
2013-09-30,$166
2013-06-30,$317
2013-03-31,$88
2012-12-31,$236
2012-09-30,$322
2012-06-30,$366
2012-03-31,$96
2011-12-31,$242
2011-09-30,$86
2011-06-30,$92
2011-03-31,$-78
2010-12-31,$212
2010-09-30,$232
2010-06-30,$196
2010-03-31,$1
2009-12-31,$139
2009-09-30,$217
2009-06-30,$122
2009-03-31,$-27
