Atmos Energy Quarterly Net Income (Millions of US $),Atmos Energy Quarterly Net Income (Millions of US $).1
2024-03-31,$432
2023-12-31,$311
2023-09-30,$119
2023-06-30,$138
2023-03-31,$358
2022-12-31,$272
2022-09-30,$72
2022-06-30,$128
2022-03-31,$325
2021-12-31,$249
2021-09-30,$49
2021-06-30,$102
2021-03-31,$297
2020-12-31,$218
2020-09-30,$65
2020-06-30,$118
2020-03-31,$240
2019-12-31,$179
2019-09-30,$59
2019-06-30,$80
2019-03-31,$215
2018-12-31,$158
2018-09-30,$39
2018-06-30,$71
2018-03-31,$179
2017-12-31,$314
2017-09-30,$36
2017-06-30,$71
2017-03-31,$165
2016-12-31,$125
2016-09-30,$34
2016-06-30,$71
2016-03-31,$142
2015-12-31,$103
2015-09-30,$24
2015-06-30,$56
2015-03-31,$138
2014-12-31,$98
2014-09-30,$24
2014-06-30,$46
2014-03-31,$133
2013-12-31,$87
2013-09-30,$8
2013-06-30,$39
2013-03-31,$116
2012-12-31,$80
2012-09-30,$8
2012-06-30,$31
2012-03-31,$109
2011-12-31,$69
2011-09-30,$2
2011-06-30,$-1
2011-03-31,$132
2010-12-31,$74
2010-09-30,$2
2010-06-30,$-3
2010-03-31,$114
2009-12-31,$93
2009-09-30,$-16
2009-06-30,$2
2009-03-31,$129
